Ticker,Company,Observations,StartDate,EndDate,SigmaEquity,SigmaAsset,Iterations,Converged,LatestAssetValue,LatestDefaultPoint,LatestDD,LatestTheoreticalPD
COST,COSTCO WHOLESALE CORP /NEW,501,2024-07-09,2026-07-08,0.20890634377829156,0.20734687426166126,2,True,425415158869.2975,2835000000.0,24.259479454994025,2.6259753353646255e-130
KO,COCA COLA CO,501,2024-07-09,2026-07-08,0.17240000083276955,0.1601295239306418,2,True,381896640982.8086,24025500000.0,17.44721043041524,1.8072991896659086e-68
WMT,Walmart Inc.,501,2024-07-09,2026-07-08,0.24198373173799714,0.23541995299420893,2,True,928016786131.5522,29116500000.0,14.759299184300191,1.3402583828710365e-49
AMZN,AMAZON COM INC,501,2024-07-09,2026-07-08,0.31886709914698486,0.314888476374333,2,True,2677961110291.1113,59689000000.0,12.050888374270217,9.593537780016378e-34
INTU,INTUIT INC.,501,2024-07-09,2026-07-08,0.40477304134357195,0.3941562925225886,2,True,77747915975.83511,3456000000.0,7.804722041688828,2.981641419161662e-15
PNC,"PNC FINANCIAL SERVICES GROUP, INC.",501,2024-07-09,2026-07-08,0.24908205300819183,0.1779189323703441,2,True,132190376004.85373,34568000000.0,7.678143837405353,8.070510057216154e-15
ORCL,ORACLE CORP,501,2024-07-09,2026-07-08,0.5446940542982638,0.5395234622378805,2,True,411589960996.21497,7199000000.0,7.304858784975663,1.3877904510946575e-13
KHC,Kraft Heinz Co,501,2024-07-09,2026-07-08,0.25187148223177425,0.1886014473661905,2,True,40612674503.45969,11521500000.0,6.801008728148142,5.194456350004417e-12
T,AT&T INC.,501,2024-07-09,2026-07-08,0.2377288853573246,0.17407282683239653,2,True,216472398538.16373,72612500000.0,6.421308324709598,6.755402926364303e-11
DELL,Dell Technologies Inc.,501,2024-07-09,2026-07-08,0.5964035877706378,0.5110278986029374,3,True,301957726044.5125,19355500000.0,5.199981569435117,9.965414433380248e-08
