trading_date,open,high,low,close,volume,adj_close,daily_return,equity_vol_252d
2024-01-02,187.14999389648438,188.44000244140625,183.88999938964844,185.63999938964844,82488700,183.5621795654297,,
2024-01-03,184.22000122070312,185.8800048828125,183.42999267578125,184.25,58414500,182.187744140625,-0.007487574118255513,
2024-01-04,182.14999389648438,183.08999633789062,180.8800048828125,181.91000366210938,71983600,179.8739471435547,-0.012700069414572468,
2024-01-05,181.99000549316406,182.75999450683594,180.1699981689453,181.17999267578125,62379700,179.15211486816406,-0.004012989578832893,
2024-01-08,182.08999633789062,185.60000610351562,181.5,185.55999755859375,59144500,183.4830780029297,0.02417478095613168,
2024-01-09,183.9199981689453,185.14999389648438,182.72999572753906,185.13999938964844,42841800,183.06776428222656,-0.002263498766335803,
2024-01-10,184.35000610351562,186.39999389648438,183.9199981689453,186.19000244140625,46792900,184.1060028076172,0.005671334488960289,
2024-01-11,186.5399932861328,187.0500030517578,183.6199951171875,185.58999633789062,49128400,183.51272583007812,-0.0032224749247259377,
2024-01-12,186.05999755859375,186.74000549316406,185.19000244140625,185.9199981689453,40477800,183.8390350341797,0.0017781284792408591,
2024-01-16,182.16000366210938,184.25999450683594,180.92999267578125,183.6300048828125,65603000,181.57467651367188,-0.012317071399372881,
2024-01-17,181.27000427246094,182.92999267578125,180.3000030517578,182.67999267578125,47317400,180.6353302001953,-0.005173333261622726,
2024-01-18,186.08999633789062,189.13999938964844,185.8300018310547,188.6300048828125,78005800,186.51873779296875,0.032570636022603905,
2024-01-19,189.3300018310547,191.9499969482422,188.82000732421875,191.55999755859375,68903000,189.41595458984375,0.01553311389063139,
2024-01-22,192.3000030517578,195.3300018310547,192.25999450683594,193.88999938964844,60133900,191.71983337402344,0.012163066142809598,
2024-01-23,195.02000427246094,195.75,193.8300018310547,195.17999267578125,42355600,192.9954071044922,0.006653321714401139,
2024-01-24,195.4199981689453,196.3800048828125,194.33999633789062,194.5,53631300,192.32301330566406,-0.0034839886032317358,
2024-01-25,195.22000122070312,196.27000427246094,193.11000061035156,194.1699981689453,54822100,191.99671936035156,-0.001696593349407971,
2024-01-26,194.27000427246094,194.75999450683594,191.94000244140625,192.4199981689453,44594000,190.26629638671875,-0.009012773652580242,
2024-01-29,192.00999450683594,192.1999969482422,189.5800018310547,191.72999572753906,47145600,189.58401489257812,-0.003585929337447502,
2024-01-30,190.94000244140625,191.8000030517578,187.47000122070312,188.0399932861328,55859400,185.93531799316406,-0.01924580456575664,
2024-01-31,187.0399932861328,187.10000610351562,184.35000610351562,184.39999389648438,55467800,182.3360595703125,-0.019357583388132316,
2024-02-01,183.99000549316406,186.9499969482422,183.82000732421875,186.86000061035156,64885400,184.76853942871094,0.013340640705578277,
