trading_date,open,high,low,close,volume,adj_close,daily_return,equity_vol_252d,dgs1,dgs10,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,current_debt,revenue,operating_income,net_income,stockholders_equity,cash,shares_outstanding,interest_expense,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets,financial_period_end,market_cap_proxy,risk_free_rate_proxy,market_default_distance_proxy,market_leverage_proxy,kmv_distance_proxy,ttc_score_proxy
2024-01-17,181.27000427246094,182.92999267578125,180.3000030517578,182.67999267578125,47317400,180.6353302001953,-0.005173333261622726,,4.8,4.1,2023-11-03,10-K,2023,FY,143566000000.0,145308000000.0,143566000000.0,145308000000.0,95281000000.0,9822000000.0,383285000000.0,114301000000.0,96995000000.0,62146000000.0,30737000000.0,15552752000.0,3933000000.0,57462500000.0,105103000000.0,1.0121337921234832,0.9880116717592975,0.2530623426432028,0.6756126102280484,29.062039155860667,0.21409665241073791,2023-09-30,2809376493041.748,0.048,0.9795461732728515,0.049178854914018355,,47.34
2024-01-18,186.08999633789062,189.13999938964844,185.8300018310547,188.6300048828125,78005800,186.51873779296875,0.032570636022603905,,4.8,4.14,2023-11-03,10-K,2023,FY,143566000000.0,145308000000.0,143566000000.0,145308000000.0,95281000000.0,9822000000.0,383285000000.0,114301000000.0,96995000000.0,62146000000.0,30737000000.0,15552752000.0,3933000000.0,57462500000.0,105103000000.0,1.0121337921234832,0.9880116717592975,0.2530623426432028,0.6756126102280484,29.062039155860667,0.21409665241073791,2023-09-30,2900879672247.0703,0.048,0.9801913534884787,0.04770159150857937,,47.34
2024-01-19,189.3300018310547,191.9499969482422,188.82000732421875,191.55999755859375,68903000,189.41595458984375,0.01553311389063139,,4.84,4.15,2023-11-03,10-K,2023,FY,143566000000.0,145308000000.0,143566000000.0,145308000000.0,95281000000.0,9822000000.0,383285000000.0,114301000000.0,96995000000.0,62146000000.0,30737000000.0,15552752000.0,3933000000.0,57462500000.0,105103000000.0,1.0121337921234832,0.9880116717592975,0.2530623426432028,0.6756126102280484,29.062039155860667,0.21409665241073791,2023-09-30,2945939366579.1016,0.0484,0.9804943371707182,0.04700626729875832,,47.34
2024-01-22,192.3000030517578,195.3300018310547,192.25999450683594,193.88999938964844,60133900,191.71983337402344,0.012163066142809598,,4.83,4.11,2023-11-03,10-K,2023,FY,143566000000.0,145308000000.0,143566000000.0,145308000000.0,95281000000.0,9822000000.0,383285000000.0,114301000000.0,96995000000.0,62146000000.0,30737000000.0,15552752000.0,3933000000.0,57462500000.0,105103000000.0,1.0121337921234832,0.9880116717592975,0.2530623426432028,0.6756126102280484,29.062039155860667,0.21409665241073791,2023-09-30,2981771021947.51,0.0483,0.9807287348434727,0.04646764567833141,,47.34
2024-01-23,195.02000427246094,195.75,193.8300018310547,195.17999267578125,42355600,192.9954071044922,0.006653321714401139,,4.81,4.14,2023-11-03,10-K,2023,FY,143566000000.0,145308000000.0,143566000000.0,145308000000.0,95281000000.0,9822000000.0,383285000000.0,114301000000.0,96995000000.0,62146000000.0,30737000000.0,15552752000.0,3933000000.0,57462500000.0,105103000000.0,1.0121337921234832,0.9880116717592975,0.2530623426432028,0.6756126102280484,29.062039155860667,0.21409665241073791,2023-09-30,3001609703835.205,0.0481,0.9808561053335552,0.04617470606966002,,47.34
2024-01-24,195.4199981689453,196.3800048828125,194.33999633789062,194.5,53631300,192.32301330566406,-0.0034839886032317358,,4.83,4.18,2023-11-03,10-K,2023,FY,143566000000.0,145308000000.0,143566000000.0,145308000000.0,95281000000.0,9822000000.0,383285000000.0,114301000000.0,96995000000.0,62146000000.0,30737000000.0,15552752000.0,3933000000.0,57462500000.0,105103000000.0,1.0121337921234832,0.9880116717592975,0.2530623426432028,0.6756126102280484,29.062039155860667,0.21409665241073791,2023-09-30,2991152129835.6934,0.0483,0.98078917503833,0.0463286616073172,,47.34
2024-01-25,195.22000122070312,196.27000427246094,193.11000061035156,194.1699981689453,54822100,191.99671936035156,-0.001696593349407971,,4.76,4.14,2023-11-03,10-K,2023,FY,143566000000.0,145308000000.0,143566000000.0,145308000000.0,95281000000.0,9822000000.0,383285000000.0,114301000000.0,96995000000.0,62146000000.0,30737000000.0,15552752000.0,3933000000.0,57462500000.0,105103000000.0,1.0121337921234832,0.9880116717592975,0.2530623426432028,0.6756126102280484,29.062039155860667,0.21409665241073791,2023-09-30,2986077361025.1465,0.047599999999999996,0.9807565266894919,0.046403742512364995,,47.34
2024-01-26,194.27000427246094,194.75999450683594,191.94000244140625,192.4199981689453,44594000,190.26629638671875,-0.009012773652580242,,4.78,4.15,2023-11-03,10-K,2023,FY,143566000000.0,145308000000.0,143566000000.0,145308000000.0,95281000000.0,9822000000.0,383285000000.0,114301000000.0,96995000000.0,62146000000.0,30737000000.0,15552752000.0,3933000000.0,57462500000.0,105103000000.0,1.0121337921234832,0.9880116717592975,0.2530623426432028,0.6756126102280484,29.062039155860667,0.21409665241073791,2023-09-30,2959164521661.133,0.0478,0.9805815122547686,0.046806019053519915,,47.34
2024-01-29,192.00999450683594,192.1999969482422,189.5800018310547,191.72999572753906,47145600,189.58401489257812,-0.003585929337447502,,4.76,4.08,2023-11-03,10-K,2023,FY,143566000000.0,145308000000.0,143566000000.0,145308000000.0,95281000000.0,9822000000.0,383285000000.0,114301000000.0,96995000000.0,62146000000.0,30737000000.0,15552752000.0,3933000000.0,57462500000.0,105103000000.0,1.0121337921234832,0.9880116717592975,0.2530623426432028,0.6756126102280484,29.062039155860667,0.21409665241073791,2023-09-30,2948553166788.574,0.047599999999999996,0.980511628331062,0.04696655478915029,,47.34
2024-01-30,190.94000244140625,191.8000030517578,187.47000122070312,188.0399932861328,55859400,185.93531799316406,-0.01924580456575664,,4.8,4.06,2023-11-03,10-K,2023,FY,143566000000.0,145308000000.0,143566000000.0,145308000000.0,95281000000.0,9822000000.0,383285000000.0,114301000000.0,96995000000.0,62146000000.0,30737000000.0,15552752000.0,3933000000.0,57462500000.0,105103000000.0,1.0121337921234832,0.9880116717592975,0.2530623426432028,0.6756126102280484,29.062039155860667,0.21409665241073791,2023-09-30,2891805888788.8184,0.048,0.9801291987741033,0.04784410638546976,,47.34
2024-01-31,187.0399932861328,187.10000610351562,184.35000610351562,184.39999389648438,55467800,182.3360595703125,-0.019357583388132316,,4.73,3.99,2023-11-03,10-K,2023,FY,143566000000.0,145308000000.0,143566000000.0,145308000000.0,95281000000.0,9822000000.0,383285000000.0,114301000000.0,96995000000.0,62146000000.0,30737000000.0,15552752000.0,3933000000.0,57462500000.0,105103000000.0,1.0121337921234832,0.9880116717592975,0.2530623426432028,0.6756126102280484,29.062039155860667,0.21409665241073791,2023-09-30,2835827515154.297,0.0473,0.979736955194585,0.048742500722071064,,47.34
2024-02-01,183.99000549316406,186.9499969482422,183.82000732421875,186.86000061035156,64885400,184.76853942871094,0.013340640705578277,,4.68,3.87,2023-11-03,10-K,2023,FY,143566000000.0,145308000000.0,143566000000.0,145308000000.0,95281000000.0,9822000000.0,383285000000.0,114301000000.0,96995000000.0,62146000000.0,30737000000.0,15552752000.0,3933000000.0,57462500000.0,105103000000.0,1.0121337921234832,0.9880116717592975,0.2530623426432028,0.6756126102280484,29.062039155860667,0.21409665241073791,2023-09-30,2873659271136.963,0.046799999999999994,0.9800037184028206,0.04813169105515876,,47.34
2024-02-02,179.86000061035156,187.3300018310547,179.25,185.85000610351562,102551700,183.76983642578125,-0.005405157209217526,,4.81,4.03,2024-02-02,10-Q,2024,Q1,143692000000.0,133973000000.0,143692000000.0,133973000000.0,95088000000.0,10954000000.0,119575000000.0,40373000000.0,33916000000.0,74100000000.0,41974000000.0,15441881000.0,,58498000000.0,106042000000.0,0.9323622748656849,1.072544467915177,0.2836378841731131,0.2360326253375275,,0.29211090387773847,2023-12-30,2837751945476.3794,0.0481,0.9793857951209404,0.045082570715010636,,32.92
2024-02-05,188.14999389648438,189.25,185.83999633789062,187.67999267578125,69668800,185.579345703125,0.009846606562522231,,4.87,4.17,2024-02-02,10-Q,2024,Q1,143692000000.0,133973000000.0,143692000000.0,133973000000.0,95088000000.0,10954000000.0,119575000000.0,40373000000.0,33916000000.0,74100000000.0,41974000000.0,15441881000.0,,58498000000.0,106042000000.0,0.9323622748656849,1.072544467915177,0.2836378841731131,0.2360326253375275,,0.29211090387773847,2023-12-30,2865694172405.5176,0.0487,0.9795867959102923,0.044662621650975794,,32.92
2024-02-06,186.86000061035156,189.30999755859375,186.77000427246094,189.3000030517578,43490800,187.1812286376953,0.00863179535686509,,4.82,4.09,2024-02-02,10-Q,2024,Q1,143692000000.0,133973000000.0,143692000000.0,133973000000.0,95088000000.0,10954000000.0,119575000000.0,40373000000.0,33916000000.0,74100000000.0,41974000000.0,15441881000.0,,58498000000.0,106042000000.0,0.9323622748656849,1.072544467915177,0.2836378841731131,0.2360326253375275,,0.29211090387773847,2023-12-30,2890430258057.083,0.0482,0.9797614905819171,0.0442973335791425,,32.92
2024-02-07,190.63999938964844,191.0500030517578,188.61000061035156,189.41000366210938,53439000,187.29000854492188,0.0005811475222075035,,4.83,4.09,2024-02-02,10-Q,2024,Q1,143692000000.0,133973000000.0,143692000000.0,133973000000.0,95088000000.0,10954000000.0,119575000000.0,40373000000.0,33916000000.0,74100000000.0,41974000000.0,15441881000.0,,58498000000.0,106042000000.0,0.9323622748656849,1.072544467915177,0.2836378841731131,0.2360326253375275,,0.29211090387773847,2023-12-30,2892110024439.667,0.0483,0.9797732453102873,0.044272744309389024,,32.92
2024-02-08,189.38999938964844,189.5399932861328,187.35000610351562,188.32000732421875,40962000,186.21221923828125,-0.00575465458629687,,4.83,4.15,2024-02-02,10-Q,2024,Q1,143692000000.0,133973000000.0,143692000000.0,133973000000.0,95088000000.0,10954000000.0,119575000000.0,40373000000.0,33916000000.0,74100000000.0,41974000000.0,15441881000.0,,58498000000.0,106042000000.0,0.9323622748656849,1.072544467915177,0.2836378841731131,0.2360326253375275,,0.29211090387773847,2023-12-30,2875466930223.4497,0.0483,0.9796561736164866,0.044517585699094704,,32.92
2024-02-09,188.64999389648438,189.99000549316406,188.0,188.85000610351562,45155200,186.9745635986328,0.004093954539986733,,4.86,4.17,2024-02-02,10-Q,2024,Q1,143692000000.0,133973000000.0,143692000000.0,133973000000.0,95088000000.0,10954000000.0,119575000000.0,40373000000.0,33916000000.0,74100000000.0,41974000000.0,15441881000.0,,58498000000.0,106042000000.0,0.9323622748656849,1.072544467915177,0.2836378841731131,0.2360326253375275,,0.29211090387773847,2023-12-30,2887238961117.0195,0.048600000000000004,0.9797391207351371,0.044344124716912195,,32.92
