period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,current_debt,revenue,operating_income,net_income,stockholders_equity,cash,shares_outstanding,interest_expense,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2008-12-27,2010-01-25,10-Q,2010,Q1,,,,,,,11880000000.0,3101000000.0,2255000000.0,,7236000000.0,906794589.0,,,,,,0.18981481481481483,,,
2008-12-27,2010-10-27,10-K,2010,FY,,,,,,,11880000000.0,,2255000000.0,,,917307099.0,,,,,,0.18981481481481483,,,
2009-03-28,2010-04-21,10-Q,2010,Q2,,,,,,,9084000000.0,2323000000.0,1620000000.0,,4466000000.0,909938383.0,,,,,,0.178335535006605,,,
2009-03-28,2010-10-27,10-K,2010,FY,,,,,,,9084000000.0,,1620000000.0,,,917307099.0,,,,,,0.178335535006605,,,
2009-06-27,2009-07-22,10-Q,2009,Q3,35170000000.0,16661000000.0,35170000000.0,16661000000.0,,,8337000000.0,1672000000.0,1229000000.0,25888000000.0,5605000000.0,895816758.0,,16661000000.0,16661000000.0,0.4737276087574637,2.1109177120220877,0.1474151373395706,0.03494455501848166,,0.1593687802104066
2009-06-27,2010-07-21,10-Q,2010,Q3,,,,,,,9734000000.0,2632000000.0,1828000000.0,,5605000000.0,913562880.0,,,,,,0.1877953564824327,,,
2009-06-27,2010-10-27,10-K,2010,FY,,,,,,,9734000000.0,,1828000000.0,,,917307099.0,,,,,,0.1877953564824327,,,
2009-09-26,2009-10-27,10-K,2009,FY,36265000000.0,19282000000.0,36265000000.0,19282000000.0,,,36537000000.0,7658000000.0,5704000000.0,27832000000.0,5263000000.0,900678473.0,,19282000000.0,19282000000.0,0.5316972287329381,1.880769629706462,0.15611571831294305,0.15728664001102993,,0.14512615469460913
2009-09-26,2010-01-25,10-Q,2010,Q1,31555000000.0,11506000000.0,31555000000.0,11506000000.0,,,,,,31640000000.0,5263000000.0,906794589.0,,11506000000.0,11506000000.0,0.36463318016162255,2.7424821832087605,,,,0.16678814767865632
2009-09-26,2010-04-21,10-Q,2010,Q2,31555000000.0,11506000000.0,31555000000.0,11506000000.0,,,,,,31640000000.0,5263000000.0,909938383.0,,11506000000.0,11506000000.0,0.36463318016162255,2.7424821832087605,,,,0.16678814767865632
2009-09-26,2010-07-21,10-Q,2010,Q3,31555000000.0,11506000000.0,31555000000.0,11506000000.0,,,,,,31640000000.0,5263000000.0,913562880.0,,11506000000.0,11506000000.0,0.36463318016162255,2.7424821832087605,,,,0.16678814767865632
2009-09-26,2010-10-27,10-K,2010,FY,31555000000.0,11506000000.0,31555000000.0,11506000000.0,,,12207000000.0,11740000000.0,2532000000.0,31640000000.0,5263000000.0,917307099.0,,11506000000.0,11506000000.0,0.36463318016162255,2.7424821832087605,0.20742197100024576,0.08024084931072731,,0.16678814767865632
2009-09-26,2011-01-19,10-Q,2011,Q1,,,,,,,,,,,5263000000.0,921278012.0,,,,,,,,,
2009-09-26,2011-04-21,10-Q,2011,Q2,,,,,,,,,,,5263000000.0,924754561.0,,,,,,,,,
2009-09-26,2011-07-20,10-Q,2011,Q3,,,,,,,,,,,5263000000.0,927090886.0,,,,,,,,,
2009-09-26,2011-10-26,10-K,2011,FY,47501000000.0,,,,,,42905000000.0,11740000000.0,8235000000.0,31640000000.0,5263000000.0,929409000.0,,,,,,0.1919356718331197,0.1733647712679733,,0.11079766741752806
2009-09-26,2012-10-31,10-K,2012,FY,,,,,,,,,,31640000000.0,5263000000.0,940692000.0,,,,,,,,,
2009-10-16,2009-10-27,10-K,2009,FY,,,,,,,,,,,,900678473.0,,,,,,,,,
