period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,revenue,operating_income,net_income,stockholders_equity,cash,interest_expense,current_debt,shares_outstanding,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2021-01-29,2022-09-01,10-Q,2023,Q2,,,,,,,,,7553000000.0,,,,848171289,,,,,,,,
2021-01-29,2022-12-05,10-Q,2023,Q3,,,,,,,,,7553000000.0,,,,848171289,,,,,,,,
2021-01-29,2023-03-30,10-K,2023,FY,,,,,,86670000000.0,3685000000.0,3505000000.0,7553000000.0,10414000000.0,2052000000.0,,848171289,,,,,0.04044075227875851,,1.7958089668615984,
2021-01-29,2024-03-25,10-K,2024,FY,,,,,,,,,7553000000.0,15184000000.0,,,848171289,,,,,,,,
2021-04-30,2021-06-07,10-Q,2022,Q1,42339000000.0,54856000000.0,42339000000.0,54856000000.0,37935000000.0,24487000000.0,1375000000.0,938000000.0,8586000000.0,15260000000.0,510000000.0,,848171289,73823500000.0,92791000000.0,1.295637591818418,0.7718207670993146,0.03830603993955976,0.022154514749994095,2.696078431372549,0.3604241951864711
2021-04-30,2021-09-03,10-Q,2022,Q2,,,,,,,,,8586000000.0,,,,848171289,,,,,,,,
2021-04-30,2022-03-24,10-K,2022,FY,,,,,,22590000000.0,,887000000.0,,,,,848171289,,,,,0.03926516157591855,,,
2021-04-30,2022-06-06,10-Q,2023,Q1,,,,,,22590000000.0,987000000.0,938000000.0,8586000000.0,9593000000.0,433000000.0,,848171289,,,,,0.041522797698096504,,2.279445727482679,
2021-04-30,2022-09-01,10-Q,2023,Q2,,,,,,,,,8586000000.0,,,,848171289,,,,,,,,
2021-07-30,2021-09-03,10-Q,2022,Q2,43555000000.0,55483000000.0,43555000000.0,55483000000.0,37167000000.0,26122000000.0,1372000000.0,880000000.0,9943000000.0,12627000000.0,483000000.0,,848171289,74066500000.0,92650000000.0,1.2738606359774998,0.7850152298902366,0.03368807901385805,0.020204339341063023,2.8405797101449277,0.28990931006773046
2021-07-30,2021-12-03,10-Q,2022,Q3,,,,,,,,,9943000000.0,,,,848171289,,,,,,,,
2021-07-30,2022-03-24,10-K,2022,FY,,,,,,24191000000.0,,831000000.0,,,,,848171289,,,,,0.03435161837046836,,,
2021-07-30,2022-09-01,10-Q,2023,Q2,,,,,,24191000000.0,1017000000.0,880000000.0,9943000000.0,6705000000.0,416000000.0,,848171289,,,,,0.03637716506138647,,2.4447115384615383,
2021-07-30,2022-12-05,10-Q,2023,Q3,,,,,,,,,9943000000.0,,,,848171289,,,,,,,,
2021-10-29,2021-12-03,10-Q,2022,Q3,57179000000.0,69702000000.0,57179000000.0,69702000000.0,31699000000.0,28394000000.0,1349000000.0,3888000000.0,14194000000.0,23369000000.0,482000000.0,,848171289,85551500000.0,101401000000.0,1.219013973661659,0.8203351410289518,0.13693033739522434,0.0679969919026216,2.7987551867219915,0.40869899788383846
2021-10-29,2022-03-24,10-K,2022,FY,,,,,,26424000000.0,,3843000000.0,,,,,848171289,,,,,0.1454359673024523,,,
2021-10-29,2022-12-05,10-Q,2023,Q3,,,,,,26424000000.0,1046000000.0,3888000000.0,14194000000.0,10816000000.0,406000000.0,,848171289,,,,,0.14713896457765668,,2.5763546798029555,
2022-01-28,2022-03-24,10-K,2022,FY,45033000000.0,56219000000.0,45033000000.0,56219000000.0,21131000000.0,27992000000.0,4659000000.0,5707000000.0,-1580000000.0,10082000000.0,1542000000.0,,848171289,66784500000.0,77350000000.0,1.2483956209890525,0.8010281221651043,0.2038796799085453,0.1267292874114538,3.0214007782101167,0.2238802655830169
2022-01-28,2022-06-06,10-Q,2023,Q1,45033000000.0,56219000000.0,45033000000.0,56219000000.0,21131000000.0,,,,-1580000000.0,10082000000.0,,,848171289,66784500000.0,77350000000.0,1.2483956209890525,0.8010281221651043,,,,0.2238802655830169
2022-01-28,2022-09-01,10-Q,2023,Q2,45033000000.0,56219000000.0,45033000000.0,56219000000.0,21131000000.0,,,,-1580000000.0,10082000000.0,,,848171289,66784500000.0,77350000000.0,1.2483956209890525,0.8010281221651043,,,,0.2238802655830169
2022-01-28,2022-12-05,10-Q,2023,Q3,45033000000.0,56219000000.0,45033000000.0,56219000000.0,21131000000.0,,,,-1580000000.0,10082000000.0,,,848171289,66784500000.0,77350000000.0,1.2483956209890525,0.8010281221651043,,,,0.2238802655830169
2022-01-28,2023-03-30,10-K,2023,FY,45033000000.0,56219000000.0,45033000000.0,56219000000.0,21131000000.0,101197000000.0,4659000000.0,5707000000.0,-1580000000.0,10082000000.0,1542000000.0,,848171289,66784500000.0,77350000000.0,1.2483956209890525,0.8010281221651043,0.05639495241953813,0.1267292874114538,3.0214007782101167,0.2238802655830169
2022-01-28,2023-06-12,10-Q,2024,FY,,,,,,,,,-1580000000.0,10082000000.0,,,848171289,,,,,,,,
2022-01-28,2023-09-12,10-Q,2024,FY,,,,,,,,,-1580000000.0,10082000000.0,,,848171289,,,,,,,,
2022-01-28,2023-12-08,10-Q,2024,Q3,,,,,,,,,-1580000000.0,10082000000.0,,,848171289,,,,,,,,
2022-01-28,2024-03-25,10-K,2024,FY,,,,,,101197000000.0,4659000000.0,5707000000.0,-1580000000.0,10082000000.0,1542000000.0,,848171289,,,,,0.05639495241953813,,3.0214007782101167,
2022-01-28,2025-03-25,10-K,2025,FY,,,,,,,,,-1580000000.0,,,,848171289,,,,,,,,
2022-04-29,2022-06-06,10-Q,2023,Q1,41376000000.0,53059000000.0,41376000000.0,53059000000.0,21197000000.0,26116000000.0,1550000000.0,1069000000.0,-2355000000.0,7276000000.0,265000000.0,,848171289,63657500000.0,74256000000.0,1.2823617556071152,0.7798111536214403,0.040932761525501606,0.025836233565351894,5.849056603773585,0.1758507347254447
2022-04-29,2022-09-01,10-Q,2023,Q2,,,,,,,,,-2355000000.0,,,,848171289,,,,,,,,
2022-04-29,2023-06-12,10-Q,2024,FY,,,,,,26116000000.0,1550000000.0,1069000000.0,-2355000000.0,7276000000.0,265000000.0,,848171289,,,,,0.040932761525501606,,5.849056603773585,
2022-04-29,2023-09-12,10-Q,2024,FY,,,,,,,,,-2355000000.0,,,,848171289,,,,,,,,
2022-07-29,2022-09-01,10-Q,2023,Q2,42262000000.0,54789000000.0,42262000000.0,54789000000.0,20287000000.0,26425000000.0,1270000000.0,506000000.0,-2755000000.0,6093000000.0,298000000.0,,848171289,64932500000.0,75076000000.0,1.2964128531541337,0.7713592144408549,0.01914853358561968,0.011972930765226444,4.261744966442953,0.14417206947139274
2022-07-29,2022-12-05,10-Q,2023,Q3,,,,,,,,,-2755000000.0,,,,848171289,,,,,,,,
2022-07-29,2023-09-12,10-Q,2024,FY,,,,,,26425000000.0,1270000000.0,506000000.0,-2755000000.0,6093000000.0,298000000.0,,848171289,,,,,0.01914853358561968,,4.261744966442953,
2022-07-29,2023-12-08,10-Q,2024,Q3,,,,,,,,,-2755000000.0,,,,848171289,,,,,,,,
2022-10-28,2022-12-05,10-Q,2023,Q3,38787000000.0,52007000000.0,38787000000.0,52007000000.0,20562000000.0,24721000000.0,1762000000.0,241000000.0,-3368000000.0,5224000000.0,272000000.0,,848171289,62288000000.0,72569000000.0,1.34083584706216,0.7458034495356395,0.009748796569718053,0.006213422022842705,6.477941176470588,0.13468430144120452
2022-10-28,2023-12-08,10-Q,2024,Q3,,,,,,24721000000.0,1762000000.0,241000000.0,-3368000000.0,5224000000.0,272000000.0,,848171289,,,,,0.009748796569718053,,6.477941176470588,
2023-02-03,2023-03-30,10-K,2023,FY,42351000000.0,51654000000.0,42351000000.0,51654000000.0,23015000000.0,102301000000.0,5771000000.0,2422000000.0,-3025000000.0,8894000000.0,1222000000.0,,848171289,63161500000.0,74669000000.0,1.219664234610753,0.819897781391567,0.023675232891174083,0.057188732261339754,4.722585924713584,0.21000684753606763
2023-02-03,2023-06-12,10-Q,2024,FY,42351000000.0,51654000000.0,42351000000.0,51654000000.0,23015000000.0,,,,-3025000000.0,8894000000.0,,,848171289,63161500000.0,74669000000.0,1.219664234610753,0.819897781391567,,,,0.21000684753606763
2023-02-03,2023-09-12,10-Q,2024,FY,42351000000.0,51654000000.0,42351000000.0,51654000000.0,23015000000.0,,,,-3025000000.0,8894000000.0,,,848171289,63161500000.0,74669000000.0,1.219664234610753,0.819897781391567,,,,0.21000684753606763
2023-02-03,2023-12-08,10-Q,2024,Q3,42351000000.0,51654000000.0,42351000000.0,51654000000.0,23015000000.0,,,,-3025000000.0,8894000000.0,,,848171289,63161500000.0,74669000000.0,1.219664234610753,0.819897781391567,,,,0.21000684753606763
2023-02-03,2024-03-25,10-K,2024,FY,42351000000.0,51654000000.0,42351000000.0,51654000000.0,23015000000.0,102301000000.0,5771000000.0,2422000000.0,-3025000000.0,8894000000.0,1222000000.0,,848171289,63161500000.0,74669000000.0,1.219664234610753,0.819897781391567,0.023675232891174083,0.057188732261339754,4.722585924713584,0.21000684753606763
2023-02-03,2024-06-11,10-Q,2025,Q1,,,,,,,,,-3025000000.0,8894000000.0,,,848171289,,,,,,,,
2023-02-03,2024-09-10,10-Q,2025,Q2,,,,,,,,,-3025000000.0,8894000000.0,,,848171289,,,,,,,,
2023-02-03,2024-12-10,10-Q,2025,Q3,,,,,,,,,-3025000000.0,,,,848171289,,,,,,,,
2023-02-03,2025-03-25,10-K,2025,FY,,,,,,102301000000.0,5771000000.0,2422000000.0,-3025000000.0,,,,848171289,,,,,0.023675232891174083,,,
2023-02-03,2026-03-16,10-K,2026,FY,,,,,,,,,-3025000000.0,,,,848171289,,,,,,,,
2023-05-05,2023-06-12,10-Q,2024,FY,37392000000.0,46825000000.0,37392000000.0,46825000000.0,22962000000.0,20922000000.0,1069000000.0,578000000.0,-2924000000.0,7927000000.0,405000000.0,,848171289,58306000000.0,69787000000.0,1.2522732135216088,0.7985477843032568,0.02762642194818851,0.015457851946940522,2.639506172839506,0.2119972186563971
2023-05-05,2023-09-12,10-Q,2024,FY,,,,,,,,,-2924000000.0,,,,848171289,,,,,,,,
2023-05-05,2024-06-11,10-Q,2025,Q1,,,,,,20922000000.0,1069000000.0,578000000.0,-2924000000.0,7927000000.0,405000000.0,,848171289,,,,,0.02762642194818851,,2.639506172839506,
2023-05-05,2024-09-10,10-Q,2025,Q2,,,,,,,,,-2924000000.0,,,,848171289,,,,,,,,
2023-05-05,2025-03-25,10-K,2025,FY,,,,,,20922000000.0,1131000000.0,632000000.0,,,,,848171289,,,,,0.030207437147500238,,,
2023-08-04,2023-09-12,10-Q,2024,FY,38999000000.0,50942000000.0,38999000000.0,50942000000.0,20177000000.0,22934000000.0,1165000000.0,455000000.0,-2677000000.0,8650000000.0,352000000.0,,848171289,61030500000.0,71119000000.0,1.3062386215031154,0.7655569078559931,0.019839539548268947,0.011666965819636402,3.309659090909091,0.22180055898869203
2023-08-04,2023-12-08,10-Q,2024,Q3,,,,,,,,,-2677000000.0,,,,848171289,,,,,,,,
2023-08-04,2024-09-10,10-Q,2025,Q2,,,,,,22934000000.0,1165000000.0,455000000.0,-2677000000.0,8650000000.0,,,848171289,,,,,0.019839539548268947,,,
2023-08-04,2024-12-10,10-Q,2025,Q3,,,,,,,,,-2677000000.0,,,,848171289,,,,,,,,
2023-08-04,2025-03-25,10-K,2025,FY,,,,,,22934000000.0,1194000000.0,482000000.0,,,,,848171289,,,,,0.021016830906078313,,,
2023-11-03,2023-12-08,10-Q,2024,Q3,36987000000.0,48877000000.0,36987000000.0,48877000000.0,20119000000.0,22251000000.0,1486000000.0,1004000000.0,-2570000000.0,8448000000.0,371000000.0,,848171289,58936500000.0,68996000000.0,1.3214642982669587,0.7567362972359187,0.04512156756999686,0.027144672452483306,4.005390835579515,0.22840457458025792
2023-11-03,2024-12-10,10-Q,2025,Q3,,,,,,22251000000.0,1486000000.0,1004000000.0,-2570000000.0,,,,848171289,,,,,0.04512156756999686,,,
2023-11-03,2025-03-25,10-K,2025,FY,,,,,,22251000000.0,1539000000.0,1050000000.0,,,,,848171289,,,,,0.0471888903869489,,,
2024-02-02,2024-03-25,10-K,2024,FY,35947000000.0,48494000000.0,35947000000.0,48494000000.0,19012000000.0,88425000000.0,5211000000.0,3195000000.0,-2309000000.0,7507000000.0,1501000000.0,,848171289,58000000000.0,67506000000.0,1.349041644643503,0.7412669608611374,0.036132315521628496,0.08888085236598325,3.4716855429713522,0.20883522964364204
2024-02-02,2024-06-11,10-Q,2025,Q1,35947000000.0,48494000000.0,35947000000.0,48494000000.0,19012000000.0,,,,-2309000000.0,7507000000.0,,,848171289,58000000000.0,67506000000.0,1.349041644643503,0.7412669608611374,,,,0.20883522964364204
2024-02-02,2024-09-10,10-Q,2025,Q2,35947000000.0,48494000000.0,35947000000.0,48494000000.0,19012000000.0,,,,-2309000000.0,7507000000.0,,,848171289,58000000000.0,67506000000.0,1.349041644643503,0.7412669608611374,,,,0.20883522964364204
2024-02-02,2024-12-10,10-Q,2025,Q3,35947000000.0,48494000000.0,35947000000.0,48494000000.0,19012000000.0,,,,-2309000000.0,7366000000.0,,,848171289,58000000000.0,67506000000.0,1.349041644643503,0.7412669608611374,,,,0.2049127882716221
2024-02-02,2025-03-25,10-K,2025,FY,35984000000.0,48354000000.0,35984000000.0,48354000000.0,19012000000.0,22318000000.0,1547000000.0,1208000000.0,-2132000000.0,7366000000.0,,,848171289,57860000000.0,67366000000.0,1.343763895064473,0.74417835132564,0.054126713863249395,0.03357047576700756,,0.20470208981769675
2024-02-02,2025-06-10,10-Q,2026,Q1,,,,,,,,,-2132000000.0,,,,848171289,,,,,,,,
2024-02-02,2025-09-08,10-Q,2026,Q2,,,,,,,,,-2132000000.0,,,,848171289,,,,,,,,
2024-02-02,2025-12-09,10-Q,2026,Q3,,,,,,,,,-2132000000.0,,,,848171289,,,,,,,,
2024-02-02,2026-03-16,10-K,2026,FY,,,,,,88425000000.0,5411000000.0,3372000000.0,-2132000000.0,,,,848171289,,,,,0.03813401187446989,,,
2024-05-03,2024-06-11,10-Q,2025,Q1,34627000000.0,47734000000.0,34627000000.0,47734000000.0,19382000000.0,22244000000.0,920000000.0,955000000.0,-2723000000.0,5962000000.0,343000000.0,,848171289,57425000000.0,67116000000.0,1.3785196522944523,0.7254158461474002,0.042932925732781874,0.02757963438934935,2.682215743440233,0.17217778034481762
2024-05-03,2024-09-10,10-Q,2025,Q2,,,,,,,,,-2723000000.0,,,,848171289,,,,,,,,
2024-05-03,2025-03-25,10-K,2025,FY,,,,,,22244000000.0,965000000.0,992000000.0,,,,,848171289,,,,,0.04459629563028232,,,
2024-05-03,2025-06-10,10-Q,2026,Q1,,,,,,22244000000.0,965000000.0,992000000.0,-2509000000.0,,,,848171289,,,,,0.04459629563028232,,,
2024-05-03,2025-09-08,10-Q,2026,Q2,,,,,,,,,-2509000000.0,,,,848171289,,,,,,,,
2024-08-02,2024-09-10,10-Q,2025,Q2,37543000000.0,52033000000.0,37543000000.0,52033000000.0,17811000000.0,25026000000.0,1342000000.0,841000000.0,-2797000000.0,4671000000.0,,,848171289,60938500000.0,69844000000.0,1.3859574354739899,0.7215228797109526,0.033605050747222885,0.022400980209359933,,0.12441733478944145
2024-08-02,2024-12-10,10-Q,2025,Q3,,,,,,,,,-2797000000.0,,,,848171289,,,,,,,,
2024-08-02,2025-03-25,10-K,2025,FY,,,,,,25026000000.0,1392000000.0,882000000.0,,,,,848171289,,,,,0.03524334691920403,,,
2024-08-02,2025-09-08,10-Q,2026,Q2,,,,,,25026000000.0,1392000000.0,882000000.0,-2542000000.0,,,,848171289,,,,,0.03524334691920403,,,
2024-08-02,2025-12-09,10-Q,2026,Q3,,,,,,,,,-2542000000.0,,,,848171289,,,,,,,,
2024-11-01,2024-12-10,10-Q,2025,Q3,38035000000.0,49500000000.0,38035000000.0,49500000000.0,19410000000.0,24366000000.0,1668000000.0,1127000000.0,-2190000000.0,5225000000.0,,,848171289,59205000000.0,68910000000.0,1.301432890758512,0.7683838383838384,0.04625297545760486,0.029630603391612987,,0.13737347180228737
2024-11-01,2025-03-25,10-K,2025,FY,,,,,,24366000000.0,1721000000.0,1170000000.0,,,,,848171289,,,,,0.048017729623245506,,,
2024-11-01,2025-12-09,10-Q,2026,Q3,,,,,,24366000000.0,1721000000.0,1170000000.0,-1892000000.0,,,,848171289,,,,,0.048017729623245506,,,
2025-01-31,2025-03-25,10-K,2025,FY,36229000000.0,46527000000.0,36229000000.0,46527000000.0,19363000000.0,23931000000.0,2159000000.0,1532000000.0,-1387000000.0,3633000000.0,,,848171289,56208500000.0,65890000000.0,1.284247426095117,0.7786661508371483,0.06401738331035059,0.04228656601065445,,0.10027878219106241
2025-01-31,2025-06-10,10-Q,2026,Q1,36229000000.0,46527000000.0,36229000000.0,46527000000.0,19363000000.0,,,,-1387000000.0,3633000000.0,,,848171289,56208500000.0,65890000000.0,1.284247426095117,0.7786661508371483,,,,0.10027878219106241
2025-01-31,2025-09-08,10-Q,2026,Q2,36229000000.0,46527000000.0,36229000000.0,46527000000.0,19363000000.0,,,,-1387000000.0,3633000000.0,,,848171289,56208500000.0,65890000000.0,1.284247426095117,0.7786661508371483,,,,0.10027878219106241
2025-01-31,2025-12-09,10-Q,2026,Q3,36229000000.0,46527000000.0,36229000000.0,46527000000.0,19363000000.0,,,,-1387000000.0,3633000000.0,,,848171289,56208500000.0,65890000000.0,1.284247426095117,0.7786661508371483,,,,0.10027878219106241
2025-01-31,2026-03-16,10-K,2026,FY,36229000000.0,46527000000.0,36229000000.0,46527000000.0,19363000000.0,95567000000.0,6237000000.0,4576000000.0,-1387000000.0,3633000000.0,,,848171289,56208500000.0,65890000000.0,1.284247426095117,0.7786661508371483,0.04788263731204286,0.1263076540892655,,0.10027878219106241
2025-01-31,2026-06-09,10-Q,2027,Q1,,,,,,,,,-1387000000.0,,,,848171289,,,,,,,,
2025-05-02,2025-06-10,10-Q,2026,Q1,42925000000.0,50422000000.0,42925000000.0,50422000000.0,23936000000.0,23378000000.0,1165000000.0,965000000.0,-3024000000.0,7700000000.0,,,848171289,62390000000.0,74358000000.0,1.1746534653465346,0.8513149022252191,0.04127812473265463,0.022481071636575423,,0.1793826441467676
2025-05-02,2025-09-08,10-Q,2026,Q2,,,,,,,,,-3024000000.0,,,,848171289,,,,,,,,
2025-05-02,2026-06-09,10-Q,2027,Q1,,,,,,23378000000.0,1165000000.0,965000000.0,-3024000000.0,,,,848171289,,,,,0.04127812473265463,,,
2025-08-01,2025-09-08,10-Q,2026,Q2,45512000000.0,54862000000.0,45512000000.0,54862000000.0,21535000000.0,29776000000.0,1773000000.0,1164000000.0,-2766000000.0,8145000000.0,,,848171289,65629500000.0,76397000000.0,1.205440323431183,0.8295723816120447,0.03909188608275121,0.02557567235014941,,0.17896378976973107
2025-08-01,2025-12-09,10-Q,2026,Q3,,,,,,,,,-2766000000.0,,,,848171289,,,,,,,,
2025-10-31,2025-12-09,10-Q,2026,Q3,43102000000.0,50516000000.0,43102000000.0,50516000000.0,23849000000.0,27005000000.0,2119000000.0,1548000000.0,-2620000000.0,9569000000.0,,,848171289,62440500000.0,74365000000.0,1.1720105795554732,0.8532346187346583,0.05732271801518237,0.03591480673750638,,0.22200825947751845
2026-01-30,2026-03-16,10-K,2026,FY,57602000000.0,63269000000.0,57602000000.0,63269000000.0,23513000000.0,113538000000.0,8149000000.0,5936000000.0,-2470000000.0,11528000000.0,,,848171289,75025500000.0,86782000000.0,1.0983820006249783,0.9104300684379396,0.052282055347108454,0.10305197736189715,,0.2001319398631992
2026-01-30,2026-06-09,10-Q,2027,Q1,57602000000.0,63269000000.0,57602000000.0,63269000000.0,23513000000.0,,,,-2470000000.0,11528000000.0,,,848171289,75025500000.0,86782000000.0,1.0983820006249783,0.9104300684379396,,,,0.2001319398631992
2026-05-01,2026-06-09,10-Q,2027,Q1,70607000000.0,74598000000.0,70607000000.0,74598000000.0,23611000000.0,43842000000.0,3656000000.0,3438000000.0,-1404000000.0,11578000000.0,,,848171289,86403500000.0,98209000000.0,1.0565241406659396,0.9464999061637042,0.07841795538524703,0.04869205602843911,,0.16397807582817567
