period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,revenue,operating_income,net_income,stockholders_equity,cash,interest_expense,current_debt,shares_outstanding,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2016-01-29,2016-12-09,10-Q,2017,Q3,23573000000.0,25310000000.0,23573000000.0,25310000000.0,10650000000.0,,,,1466000000.0,6322000000.0,,,848171289,30635000000.0,35960000000.0,1.0736859966911296,0.9313709996048992,,,,0.26818818139396766
2016-01-29,2017-03-31,10-K,2017,FY,23573000000.0,25310000000.0,23573000000.0,25310000000.0,10650000000.0,12679000000.0,-514000000.0,-1104000000.0,1466000000.0,6322000000.0,680000000.0,,848171289,30635000000.0,35960000000.0,1.0736859966911296,0.9313709996048992,-0.08707311302153167,-0.04683324142026895,-0.7558823529411764,0.26818818139396766
2016-01-29,2017-06-09,10-Q,2018,Q1,,,,,,,,,1466000000.0,,,,848171289,,,,,,,,
2016-01-29,2017-09-08,10-Q,2018,Q2,,,,,,,,,1466000000.0,,,,848171289,,,,,,,,
2016-01-29,2017-12-12,10-Q,2018,Q3,,,,,,,,,1466000000.0,,,,848171289,,,,,,,,
2016-01-29,2018-03-29,10-K,2018,FY,,,,,,50911000000.0,-514000000.0,-1104000000.0,1466000000.0,6322000000.0,680000000.0,,848171289,,,,,-0.021684901101922963,,-0.7558823529411764,
2016-01-29,2019-03-29,10-K,2019,Q4,,,,,,,,,1466000000.0,6892000000.0,,,848171289,,,,,,,,
2016-04-29,2016-06-10,10-Q,2017,Q1,20764000000.0,23948000000.0,20764000000.0,23948000000.0,10679000000.0,12534000000.0,-161000000.0,55000000.0,1567000000.0,6139000000.0,,,848171289,29287500000.0,34627000000.0,1.1533423232517819,0.8670452647402705,0.004388064464656135,0.0026488152571758814,,0.29565594297823156
2016-04-29,2017-03-31,10-K,2017,FY,,,,,,12241000000.0,,55000000.0,,,,,848171289,,,,,0.004493096969201862,,,
2016-04-29,2017-06-09,10-Q,2018,Q1,,,,,,12241000000.0,-139000000.0,55000000.0,1567000000.0,5871000000.0,,,848171289,,,,,0.004493096969201862,,,
2016-04-29,2018-03-29,10-K,2018,FY,,,,,,12241000000.0,,55000000.0,,,,,848171289,,,,,0.004493096969201862,,,
2016-07-29,2016-09-06,10-Q,2017,Q2,24247000000.0,25823000000.0,24247000000.0,25823000000.0,33836000000.0,13050000000.0,63000000.0,572000000.0,2191000000.0,7226000000.0,,,848171289,42741000000.0,59659000000.0,1.0649977316781458,0.9389691360415133,0.04383141762452107,0.023590547284200108,,0.29801624943291954
2016-07-29,2017-03-31,10-K,2017,FY,,,,,,13080000000.0,,573000000.0,,,,,848171289,,,,,0.04380733944954129,,,
2016-07-29,2017-09-08,10-Q,2018,Q2,,,,,,13080000000.0,67000000.0,572000000.0,2191000000.0,7226000000.0,,,848171289,,,,,0.0437308868501529,,,
2016-07-29,2018-03-29,10-K,2018,FY,,,,,,13080000000.0,,573000000.0,,,,,848171289,,,,,0.04380733944954129,,,
2016-10-28,2016-12-09,10-Q,2017,Q3,36407000000.0,41369000000.0,36407000000.0,41369000000.0,47284000000.0,16247000000.0,-1512000000.0,-2075000000.0,19819000000.0,8822000000.0,,,848171289,65011000000.0,88653000000.0,1.1362924712280604,0.880055113732505,-0.12771588600972486,-0.056994534018183315,,0.2423160381245365
2016-10-28,2017-03-31,10-K,2017,FY,,,,,,16247000000.0,,-2064000000.0,,,,,848171289,,,,,-0.12703883793931187,,,
2016-10-28,2017-12-12,10-Q,2018,Q3,,,,,,16247000000.0,-1512000000.0,-2075000000.0,19819000000.0,8822000000.0,,,848171289,,,,,-0.12771588600972486,,,
2016-10-28,2018-03-29,10-K,2018,FY,,,,,,16247000000.0,,-2064000000.0,,,,,848171289,,,,,-0.12703883793931187,,,
2017-02-03,2017-03-31,10-K,2017,FY,30773000000.0,38135000000.0,30773000000.0,38135000000.0,43061000000.0,20074000000.0,-3252000000.0,-1718000000.0,19009000000.0,9474000000.0,1751000000.0,,848171289,59665500000.0,81196000000.0,1.2392356936275306,0.8069489969843975,-0.085583341635947,-0.055828161050271344,-1.8572244431753284,0.3078672862574335
2017-02-03,2017-06-09,10-Q,2018,Q1,30773000000.0,38135000000.0,30773000000.0,38135000000.0,43061000000.0,,,,19009000000.0,9474000000.0,,,848171289,59665500000.0,81196000000.0,1.2392356936275306,0.8069489969843975,,,,0.3078672862574335
2017-02-03,2017-09-08,10-Q,2018,Q2,30773000000.0,38135000000.0,30773000000.0,38135000000.0,43061000000.0,,,,19009000000.0,9474000000.0,,,848171289,59665500000.0,81196000000.0,1.2392356936275306,0.8069489969843975,,,,0.3078672862574335
2017-02-03,2017-12-12,10-Q,2018,Q3,30773000000.0,38135000000.0,30773000000.0,38135000000.0,43061000000.0,,,,19009000000.0,9474000000.0,,,848171289,59665500000.0,81196000000.0,1.2392356936275306,0.8069489969843975,,,,0.3078672862574335
2017-02-03,2018-03-29,10-K,2018,FY,30773000000.0,38135000000.0,30773000000.0,38135000000.0,43061000000.0,20074000000.0,-3252000000.0,-1718000000.0,19009000000.0,9474000000.0,1751000000.0,,848171289,59665500000.0,81196000000.0,1.2392356936275306,0.8069489969843975,-0.085583341635947,-0.055828161050271344,-1.8572244431753284,0.3078672862574335
2017-02-03,2018-06-12,10-Q,2019,Q1,,,,,,,,,20578000000.0,9832000000.0,,,848171289,,,,,,,,
2017-02-03,2018-09-11,10-Q,2019,Q2,,,,,,,,,20578000000.0,9832000000.0,,,848171289,,,,,,,,
2017-02-03,2018-12-10,10-Q,2019,Q3,,,,,,,,,20578000000.0,9832000000.0,,,848171289,,,,,,,,
2017-02-03,2019-03-29,10-K,2019,Q4,,,,,,62164000000.0,-2390000000.0,-1158000000.0,20578000000.0,9832000000.0,1751000000.0,,848171289,,,,,-0.01862814490702014,,-1.3649343232438607,
2017-02-03,2020-03-27,10-K,2020,FY,,,,,,,,,20578000000.0,9832000000.0,,,848171289,,,,,,,,
2017-05-05,2017-06-09,10-Q,2018,Q1,30384000000.0,36636000000.0,30384000000.0,36636000000.0,44948000000.0,17816000000.0,-1500000000.0,-1383000000.0,17390000000.0,9554000000.0,,,848171289,59110000000.0,81584000000.0,1.2057661927330174,0.8293481821159515,-0.07762685226762461,-0.0455173775671406,,0.31444181147972616
2017-05-05,2018-03-29,10-K,2018,FY,,,,,,17816000000.0,,-1334000000.0,,,,,848171289,,,,,-0.07487651549169286,,,
2017-05-05,2018-06-12,10-Q,2019,Q1,,,,,,18000000000.0,-1272000000.0,-1203000000.0,19139000000.0,9975000000.0,,,848171289,,,,,-0.06683333333333333,,,
2017-05-05,2019-03-29,10-K,2019,Q4,,,,,,18000000000.0,,-1171000000.0,,,,,848171289,,,,,-0.06505555555555556,,,
2017-08-04,2017-09-08,10-Q,2018,Q2,32205000000.0,42126000000.0,32205000000.0,42126000000.0,41374000000.0,19299000000.0,-979000000.0,-978000000.0,16936000000.0,9213000000.0,,,848171289,62813000000.0,83500000000.0,1.3080577550069865,0.7644922375729953,-0.05067620083942173,-0.030367955286446206,,0.28607359105728924
2017-08-04,2018-03-29,10-K,2018,FY,,,,,,19299000000.0,,-946000000.0,,,,,848171289,,,,,-0.04901808383854086,,,
2017-08-04,2018-09-11,10-Q,2019,Q2,,,,,,19521000000.0,-665000000.0,-739000000.0,18924000000.0,9618000000.0,,,848171289,,,,,-0.0378566671789355,,,
2017-08-04,2019-03-29,10-K,2019,Q4,,,,,,19521000000.0,,-732000000.0,,,,,848171289,,,,,-0.03749807899185493,,,
2017-11-03,2017-12-12,10-Q,2018,Q3,34525000000.0,40742000000.0,34525000000.0,40742000000.0,45416000000.0,19610000000.0,-533000000.0,-941000000.0,15226000000.0,11706000000.0,,,848171289,63450000000.0,86158000000.0,1.1800724112961622,0.8474056256442982,-0.04798572157062723,-0.02725561187545257,,0.33905865314989136
2017-11-03,2018-03-29,10-K,2018,FY,,,,,,19610000000.0,,-937000000.0,,,,,848171289,,,,,-0.0477817440081591,,,
2017-11-03,2018-12-10,10-Q,2019,Q3,,,,,,19556000000.0,-410000000.0,-851000000.0,17304000000.0,12158000000.0,,,848171289,,,,,-0.043516056453262425,,,
2017-11-03,2019-03-29,10-K,2019,Q4,,,,,,19556000000.0,,-846000000.0,,,,,848171289,,,,,-0.04326038044589896,,,
2018-02-02,2018-03-29,10-K,2018,FY,38957000000.0,45892000000.0,38957000000.0,45892000000.0,43998000000.0,21935000000.0,-3333000000.0,-3855000000.0,14987000000.0,13942000000.0,2406000000.0,,848171289,67891000000.0,89890000000.0,1.1780167877403291,0.8488843371393707,-0.1757465238203784,-0.09895525836178351,-1.385286783042394,0.35788176707652025
2018-02-02,2018-06-12,10-Q,2019,Q1,40328000000.0,45839000000.0,40328000000.0,45839000000.0,43998000000.0,,,,17485000000.0,14378000000.0,,,848171289,67838000000.0,89837000000.0,1.1366544336441182,0.8797748641986082,,,,0.3565264828407062
2018-02-02,2018-09-11,10-Q,2019,Q2,40328000000.0,45839000000.0,40328000000.0,45839000000.0,43998000000.0,,,,17485000000.0,14378000000.0,,,848171289,67838000000.0,89837000000.0,1.1366544336441182,0.8797748641986082,,,,0.3565264828407062
2018-02-02,2018-12-10,10-Q,2019,Q3,40328000000.0,45839000000.0,40328000000.0,45839000000.0,43998000000.0,,,,17485000000.0,14378000000.0,,,848171289,67838000000.0,89837000000.0,1.1366544336441182,0.8797748641986082,,,,0.3565264828407062
2018-02-02,2019-03-29,10-K,2019,Q4,40328000000.0,45839000000.0,40328000000.0,45839000000.0,43998000000.0,21963000000.0,-2416000000.0,-2926000000.0,17485000000.0,14378000000.0,2406000000.0,,848171289,67838000000.0,89837000000.0,1.1366544336441182,0.8797748641986082,-0.13322405864408324,-0.07255504860146797,-1.0041562759767249,0.3565264828407062
2018-02-02,2019-06-10,10-Q,2020,Q1,,,,,,,,,17485000000.0,14378000000.0,,,848171289,,,,,,,,
2018-02-02,2019-09-10,10-Q,2020,Q2,,,,,,,,,17485000000.0,14378000000.0,,,848171289,,,,,,,,
2018-02-02,2019-12-09,10-Q,2020,Q3,,,,,,,,,17485000000.0,14378000000.0,,,848171289,,,,,,,,
2018-02-02,2020-03-27,10-K,2020,FY,,,,,,79040000000.0,-2416000000.0,-2926000000.0,17485000000.0,14378000000.0,2406000000.0,,848171289,,,,,-0.03701923076923077,,-1.0041562759767249,
2018-02-02,2021-03-26,10-K,2021,FY,,,,,,,,,17485000000.0,14378000000.0,,,848171289,,,,,,,,
