period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,revenue,operating_income,net_income,stockholders_equity,cash,shares_outstanding,interest_expense,current_debt,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2015-08-31,2016-09-19,10-Q,2017,Q1,,,,,,8448000000.0,2654000000.0,1747000000.0,,16739000000.0,4105567000.0,374000000.0,,,,,,0.20679450757575757,,7.096256684491979,
2015-09-11,2015-09-18,10-Q,2016,Q1,,,,,,,,,,,4268744000.0,,,,,,,,,,
2015-11-30,2015-12-18,10-Q,2016,Q2,58618000000.0,13754000000.0,58618000000.0,13754000000.0,,8993000000.0,2955000000.0,2197000000.0,46332000000.0,17411000000.0,4201220000.0,371000000.0,,13754000000.0,13754000000.0,0.23463782455900917,4.261887450923368,0.24430112309574112,0.037479954962639464,7.964959568733153,0.29702480466750825
2015-11-30,2016-12-19,10-Q,2017,Q2,,,,,,8993000000.0,2955000000.0,2197000000.0,,17411000000.0,4102353000.0,371000000.0,,,,,,0.24430112309574112,,7.964959568733153,
2015-12-11,2015-12-18,10-Q,2016,Q2,,,,,,,,,,,4201220000.0,,,,,,,,,,
2016-02-29,2016-03-18,10-Q,2016,Q3,57069000000.0,11825000000.0,57069000000.0,11825000000.0,,9012000000.0,3027000000.0,2142000000.0,46336000000.0,15583000000.0,4149865000.0,360000000.0,,11825000000.0,11825000000.0,0.20720531286688043,4.826131078224101,0.23768308921438083,0.03753351206434316,8.408333333333333,0.2730554241356954
2016-02-29,2017-03-17,10-Q,2017,Q3,,,,,,9012000000.0,3027000000.0,2142000000.0,,15583000000.0,4114684000.0,360000000.0,,,,,,0.23768308921438083,,8.408333333333333,
2016-03-11,2016-03-18,10-Q,2016,Q3,,,,,,,,,,,4149865000.0,,,,,,,,,,
2016-05-31,2016-06-22,10-K,2016,FY,64313000000.0,17208000000.0,64313000000.0,17208000000.0,,37047000000.0,12604000000.0,9017000000.0,47790000000.0,20152000000.0,4122730000.0,1467000000.0,,17208000000.0,17208000000.0,0.2675664329140298,3.7373895862389586,0.24339352714119902,0.14020493523859873,8.591683708248125,0.31334255904715996
2016-05-31,2016-09-19,10-Q,2017,Q1,64313000000.0,17208000000.0,64313000000.0,17208000000.0,,,,,47790000000.0,20152000000.0,4105567000.0,,,17208000000.0,17208000000.0,0.2675664329140298,3.7373895862389586,,,,0.31334255904715996
2016-05-31,2016-12-19,10-Q,2017,Q2,64313000000.0,17208000000.0,64313000000.0,17208000000.0,,,,,47790000000.0,20152000000.0,4102353000.0,,,17208000000.0,17208000000.0,0.2675664329140298,3.7373895862389586,,,,0.31334255904715996
2016-05-31,2017-03-17,10-Q,2017,Q3,64313000000.0,17208000000.0,64313000000.0,17208000000.0,,,,,47790000000.0,20152000000.0,4114684000.0,,,17208000000.0,17208000000.0,0.2675664329140298,3.7373895862389586,,,,0.31334255904715996
2016-05-31,2017-06-27,10-K,2017,FY,64313000000.0,17208000000.0,64313000000.0,17208000000.0,,37047000000.0,12604000000.0,9017000000.0,47790000000.0,20152000000.0,4136682000.0,1467000000.0,,17208000000.0,17208000000.0,0.2675664329140298,3.7373895862389586,0.24339352714119902,0.14020493523859873,8.591683708248125,0.31334255904715996
2016-05-31,2017-09-18,10-Q,2018,Q1,,,,,,,,,,20152000000.0,4173053000.0,,,,,,,,,,
2016-05-31,2017-12-18,10-Q,2018,Q2,,,,,,,,,,20152000000.0,4139602000.0,,,,,,,,,,
2016-05-31,2018-03-21,10-Q,2018,Q3,,,,,,,,,,20152000000.0,4082313000.0,,,,,,,,,,
2016-05-31,2018-06-22,10-K,2018,FY,,,,,,37047000000.0,12604000000.0,9017000000.0,47790000000.0,20152000000.0,3981155000.0,1467000000.0,,,,,,0.24339352714119902,,8.591683708248125,
2016-05-31,2019-06-21,10-K,2019,FY,,,,,,,,,47790000000.0,,3335819000.0,,,,,,,,,,
2016-06-15,2016-06-22,10-K,2016,FY,,,,,,,,,,,4122730000.0,,,,,,,,,,
2016-08-31,2016-09-19,10-Q,2017,Q1,74451000000.0,15142000000.0,74451000000.0,15142000000.0,,8595000000.0,2641000000.0,1832000000.0,47832000000.0,28614000000.0,4105567000.0,416000000.0,,15142000000.0,15142000000.0,0.20338209023384507,4.916853784176463,0.21314717859220478,0.02460678835744315,6.3485576923076925,0.3843333199016803
2016-08-31,2017-09-18,10-Q,2018,Q1,,,,,,8595000000.0,2641000000.0,1832000000.0,,28614000000.0,4173053000.0,416000000.0,,,,,,0.21314717859220478,,6.3485576923076925,
2016-09-12,2016-09-19,10-Q,2017,Q1,,,,,,,,,,,4105567000.0,,,,,,,,,,
2016-11-30,2016-12-19,10-Q,2017,Q2,64734000000.0,16347000000.0,64734000000.0,16347000000.0,,9035000000.0,3037000000.0,2032000000.0,48845000000.0,18592000000.0,4102353000.0,451000000.0,,16347000000.0,16347000000.0,0.252525720641394,3.9599926592035235,0.22490315439955727,0.031389995983563505,6.733924611973393,0.2872061049834708
2016-11-30,2017-12-18,10-Q,2018,Q2,,,,,,9035000000.0,3037000000.0,2032000000.0,,18592000000.0,4139602000.0,451000000.0,,,,,,0.22490315439955727,,6.733924611973393,
2016-12-12,2016-12-19,10-Q,2017,Q2,,,,,,,,,,,4102353000.0,,,,,,,,,,
2017-02-28,2017-03-17,10-Q,2017,Q3,66011000000.0,15790000000.0,66011000000.0,15790000000.0,,9205000000.0,2959000000.0,2239000000.0,51023000000.0,19748000000.0,4114684000.0,450000000.0,,15790000000.0,15790000000.0,0.23920255714956598,4.180557314756175,0.24323737099402498,0.033918589326021424,6.575555555555556,0.29916226083531533
2017-02-28,2018-03-21,10-Q,2018,Q3,,,,,,9205000000.0,2959000000.0,2239000000.0,,19748000000.0,4082313000.0,450000000.0,,,,,,0.24323737099402498,,6.575555555555556,
2017-03-13,2017-03-17,10-Q,2017,Q3,,,,,,,,,,,4114684000.0,,,,,,,,,,
2017-05-31,2017-06-27,10-K,2017,FY,74515000000.0,24178000000.0,74515000000.0,24178000000.0,,37728000000.0,12710000000.0,9453000000.0,54246000000.0,21784000000.0,4136682000.0,1798000000.0,,24178000000.0,24178000000.0,0.3244715829027712,3.0819339895773017,0.2505566157760814,0.12686036368516407,7.068965517241379,0.2923438233912635
2017-05-31,2017-09-18,10-Q,2018,Q1,74515000000.0,24178000000.0,74515000000.0,24178000000.0,,,,,54246000000.0,21784000000.0,4173053000.0,,,24178000000.0,24178000000.0,0.3244715829027712,3.0819339895773017,,,,0.2923438233912635
2017-05-31,2017-12-18,10-Q,2018,Q2,74515000000.0,24178000000.0,74515000000.0,24178000000.0,,,,,54246000000.0,21784000000.0,4139602000.0,,,24178000000.0,24178000000.0,0.3244715829027712,3.0819339895773017,,,,0.2923438233912635
2017-05-31,2018-03-21,10-Q,2018,Q3,74515000000.0,24178000000.0,74515000000.0,24178000000.0,,,,,54246000000.0,21784000000.0,4082313000.0,,,24178000000.0,24178000000.0,0.3244715829027712,3.0819339895773017,,,,0.2923438233912635
2017-05-31,2018-06-22,10-K,2018,FY,74515000000.0,24178000000.0,74515000000.0,24178000000.0,,37728000000.0,12710000000.0,9453000000.0,54246000000.0,21784000000.0,3981155000.0,1798000000.0,,24178000000.0,24178000000.0,0.3244715829027712,3.0819339895773017,0.2505566157760814,0.12686036368516407,7.068965517241379,0.2923438233912635
2017-05-31,2018-09-19,10-Q,2019,Q1,,,,,,,,,,21784000000.0,3787960000.0,,,,,,,,,,
2017-05-31,2019-06-21,10-K,2019,FY,,,,,,37792000000.0,12913000000.0,9570000000.0,55130000000.0,,3335819000.0,1798000000.0,,,,,,0.25322819644369177,,7.181868743047831,
2017-05-31,2020-06-22,10-K,2020,FY,,,,,,,,,55130000000.0,,3068682000.0,,,,,,,,,,
2017-06-16,2017-06-27,10-K,2017,FY,,,,,,,,,,,4136682000.0,,,,,,,,,,
2017-08-31,2017-09-18,10-Q,2018,Q1,73335000000.0,20226000000.0,73335000000.0,20226000000.0,,9187000000.0,2821000000.0,2210000000.0,56366000000.0,21321000000.0,4173053000.0,469000000.0,,20226000000.0,20226000000.0,0.2758028226631213,3.62577870068229,0.24055730924131927,0.030135678734574213,6.014925373134329,0.2907343014931479
2017-08-31,2017-12-18,10-Q,2018,Q2,,,,,,,,,,21310000000.0,4139602000.0,,,,,,,,,,
2017-08-31,2018-09-19,10-Q,2019,Q1,,,,,,9104000000.0,2749000000.0,2144000000.0,,21321000000.0,3787960000.0,469000000.0,,,,,,0.23550087873462214,,5.861407249466951,
2017-09-11,2017-09-18,10-Q,2018,Q1,,,,,,,,,,,4173053000.0,,,,,,,,,,
2017-11-30,2017-12-18,10-Q,2018,Q2,78545000000.0,15494000000.0,78545000000.0,15494000000.0,,9621000000.0,3069000000.0,2233000000.0,56300000000.0,21310000000.0,4139602000.0,475000000.0,,15494000000.0,15494000000.0,0.1972627156407155,5.069381696140441,0.2320964556698888,0.028429562671080273,6.461052631578947,0.27130944044815075
2017-11-30,2018-12-19,10-Q,2019,Q2,,,,,,9589000000.0,3039000000.0,2214000000.0,,,3588919000.0,475000000.0,,,,,,0.23088956095526122,,6.3978947368421055,
2017-12-11,2017-12-18,10-Q,2018,Q2,,,,,,,,,,,4139602000.0,,,,,,,,,,
2018-02-28,2018-03-21,10-Q,2018,Q3,77732000000.0,17968000000.0,77732000000.0,17968000000.0,,9771000000.0,3410000000.0,-4024000000.0,48272000000.0,19487000000.0,4082313000.0,533000000.0,,17968000000.0,17968000000.0,0.23115319302217877,4.32613535173642,-0.4118309282570873,-0.0517676117943704,6.397748592870544,0.250694694591674
2018-02-28,2019-03-18,10-Q,2019,Q3,,,,,,9676000000.0,3315000000.0,-4047000000.0,49071000000.0,,3417654000.0,533000000.0,,,,,,-0.41825134353038446,,6.219512195121951,
2018-03-15,2018-03-21,10-Q,2018,Q3,,,,,,,,,,,4082313000.0,,,,,,,,,,
2018-05-31,2018-06-22,10-K,2018,FY,75964000000.0,19195000000.0,75964000000.0,19195000000.0,,39831000000.0,13679000000.0,3960000000.0,46224000000.0,21620000000.0,3981155000.0,2025000000.0,,19195000000.0,19195000000.0,0.2526854825970196,3.9574889294087003,0.09942004971002485,0.05212995629508715,6.755061728395062,0.28460849876257177
2018-05-31,2018-09-19,10-Q,2019,Q1,76159000000.0,19124000000.0,76159000000.0,19124000000.0,,,,,46873000000.0,21620000000.0,3787960000.0,,,19124000000.0,19124000000.0,0.2511062382646831,3.982378163564108,,,,0.28387977783321733
2018-05-31,2018-12-19,10-Q,2019,Q2,76159000000.0,19124000000.0,76159000000.0,19124000000.0,,,,,46873000000.0,21620000000.0,3588919000.0,,,19124000000.0,19124000000.0,0.2511062382646831,3.982378163564108,,,,0.28387977783321733
2018-05-31,2019-03-18,10-Q,2019,Q3,76159000000.0,19124000000.0,76159000000.0,19124000000.0,,,,,46873000000.0,21620000000.0,3417654000.0,,,19124000000.0,19124000000.0,0.2511062382646831,3.982378163564108,,,,0.28387977783321733
2018-05-31,2019-06-21,10-K,2019,FY,76159000000.0,19124000000.0,76159000000.0,19124000000.0,,39383000000.0,13264000000.0,3722000000.0,46873000000.0,21620000000.0,3335819000.0,2025000000.0,,19124000000.0,19124000000.0,0.2511062382646831,3.982378163564108,0.09450778254576848,0.04887144001365564,6.550123456790123,0.28387977783321733
2018-05-31,2020-06-22,10-K,2020,FY,,,,,,39383000000.0,13264000000.0,3722000000.0,46873000000.0,,3068682000.0,2025000000.0,,,,,,0.09450778254576848,,6.550123456790123,
2018-05-31,2021-06-21,10-K,2021,FY,,,,,,,,,46873000000.0,,2792000000.0,,,,,,,,,,
2018-06-15,2018-06-22,10-K,2018,FY,,,,,,,,,,,3981155000.0,,,,,,,,,,
2018-08-31,2018-09-19,10-Q,2019,Q1,67009000000.0,19562000000.0,67009000000.0,19562000000.0,,9193000000.0,2778000000.0,2265000000.0,38564000000.0,18455000000.0,3787960000.0,529000000.0,,19562000000.0,19562000000.0,0.29193093465056935,3.4254677435845005,0.24638311758947026,0.033801429658702566,5.251417769376181,0.27541076571803785
2018-08-31,2019-09-13,10-Q,2020,Q1,,,,,,9193000000.0,2778000000.0,2265000000.0,38564000000.0,,3288330000.0,529000000.0,,,,,,0.24638311758947026,,5.251417769376181,
2018-09-13,2018-09-19,10-Q,2019,Q1,,,,,,,,,,,3787960000.0,,,,,,,,,,
2018-11-30,2018-12-19,10-Q,2019,Q2,56938000000.0,20315000000.0,56938000000.0,20315000000.0,,9562000000.0,3101000000.0,2333000000.0,31055000000.0,10824000000.0,3588919000.0,519000000.0,,20315000000.0,20315000000.0,0.35679159787839404,2.80275658380507,0.24398661367914662,0.04097439319962064,5.97495183044316,0.19010151392742983
2018-11-30,2019-12-13,10-Q,2020,Q2,,,,,,9562000000.0,3101000000.0,2333000000.0,31055000000.0,,3207649000.0,519000000.0,,,,,,0.24398661367914662,,5.97495183044316,
2018-12-14,2018-12-19,10-Q,2019,Q2,,,,,,,,,,,3588919000.0,,,,,,,,,,
2019-02-28,2019-03-18,10-Q,2019,Q3,47617000000.0,17986000000.0,47617000000.0,17986000000.0,,9614000000.0,3399000000.0,2745000000.0,24238000000.0,14720000000.0,3417654000.0,509000000.0,,17986000000.0,17986000000.0,0.3777222420564084,2.6474480151228734,0.2855211150405658,0.05764747884159019,6.677799607072692,0.30913329273158746
2019-02-28,2020-03-13,10-Q,2020,Q3,,,,,,9614000000.0,3399000000.0,2745000000.0,24238000000.0,,3153584000.0,509000000.0,,,,,,0.2855211150405658,,6.677799607072692,
2019-03-13,2019-03-18,10-Q,2019,Q3,,,,,,,,,,,3417654000.0,,,,,,,,,,
2019-05-31,2019-06-21,10-K,2019,FY,46386000000.0,18630000000.0,46386000000.0,18630000000.0,,39506000000.0,13535000000.0,11235000000.0,22363000000.0,20514000000.0,3335819000.0,2082000000.0,,18630000000.0,18630000000.0,0.40162980209545984,2.4898550724637682,0.2843871816939199,0.24220670029750355,6.500960614793468,0.4422455051093002
2019-05-31,2019-09-13,10-Q,2020,Q1,46386000000.0,18630000000.0,46386000000.0,18630000000.0,,,,,22363000000.0,20514000000.0,3288330000.0,,,18630000000.0,18630000000.0,0.40162980209545984,2.4898550724637682,,,,0.4422455051093002
2019-05-31,2019-12-13,10-Q,2020,Q2,46386000000.0,18630000000.0,46386000000.0,18630000000.0,,,,,22363000000.0,20514000000.0,3207649000.0,,,18630000000.0,18630000000.0,0.40162980209545984,2.4898550724637682,,,,0.4422455051093002
2019-05-31,2020-03-13,10-Q,2020,Q3,46386000000.0,18630000000.0,46386000000.0,18630000000.0,,,,,22363000000.0,20514000000.0,3153584000.0,,,18630000000.0,18630000000.0,0.40162980209545984,2.4898550724637682,,,,0.4422455051093002
2019-05-31,2020-06-22,10-K,2020,FY,46386000000.0,18630000000.0,46386000000.0,18630000000.0,,39506000000.0,13535000000.0,11235000000.0,22363000000.0,20514000000.0,3068682000.0,2082000000.0,,18630000000.0,18630000000.0,0.40162980209545984,2.4898550724637682,0.2843871816939199,0.24220670029750355,6.500960614793468,0.4422455051093002
2019-05-31,2021-06-21,10-K,2021,FY,,,,,,39506000000.0,13535000000.0,11235000000.0,22363000000.0,,2792000000.0,2082000000.0,,,,,,0.2843871816939199,,6.500960614793468,
2019-05-31,2022-06-21,10-K,2022,FY,,,,,,,,,22363000000.0,,2664926000.0,,,,,,,,,,
2019-06-17,2019-06-21,10-K,2019,FY,,,,,,,,,,,3335819000.0,,,,,,,,,,
2019-08-31,2019-09-13,10-Q,2020,Q1,42384000000.0,18875000000.0,42384000000.0,18875000000.0,,9218000000.0,2877000000.0,2137000000.0,19019000000.0,31083000000.0,3288330000.0,494000000.0,,18875000000.0,18875000000.0,0.44533314458286144,2.2455099337748345,0.23182903015838577,0.0504199697999245,5.823886639676114,0.7333663646659117
2019-08-31,2020-09-15,10-Q,2021,Q1,,,,,,9218000000.0,2877000000.0,2137000000.0,19019000000.0,,3007161000.0,494000000.0,,,,,,0.23182903015838577,,5.823886639676114,
2019-09-10,2019-09-13,10-Q,2020,Q1,,,,,,,,,,,3288330000.0,,,,,,,,,,
2019-11-30,2019-12-13,10-Q,2020,Q2,34540000000.0,14592000000.0,34540000000.0,14592000000.0,,9614000000.0,3183000000.0,2311000000.0,16185000000.0,24540000000.0,3207649000.0,465000000.0,,14592000000.0,14592000000.0,0.42246670526925306,2.3670504385964914,0.24037861452049095,0.0669079328314997,6.84516129032258,0.7104806022003475
2019-11-30,2020-12-11,10-Q,2021,Q2,,,,,,9614000000.0,3183000000.0,2311000000.0,16185000000.0,,2944034000.0,465000000.0,,,,,,0.24037861452049095,,6.84516129032258,
2019-12-09,2019-12-13,10-Q,2020,Q2,,,,,,,,,,,3207649000.0,,,,,,,,,,
2020-02-29,2020-03-13,10-Q,2020,Q3,33442000000.0,15740000000.0,33442000000.0,15740000000.0,,9796000000.0,3528000000.0,2571000000.0,14881000000.0,23829000000.0,3153584000.0,456000000.0,,15740000000.0,15740000000.0,0.4706656300460499,2.1246505717916135,0.2624540628828093,0.07687937324322708,7.7368421052631575,0.7125470964655224
2020-02-29,2021-03-11,10-Q,2021,Q3,,,,,,9796000000.0,3528000000.0,2571000000.0,14881000000.0,,2883535000.0,456000000.0,,,,,,0.2624540628828093,,7.7368421052631575,
2020-03-09,2020-03-13,10-Q,2020,Q3,,,,,,,,,,,3153584000.0,,,,,,,,,,
2020-05-31,2020-06-22,10-K,2020,FY,52140000000.0,17200000000.0,52140000000.0,17200000000.0,,39068000000.0,13896000000.0,10299000000.0,12717000000.0,37239000000.0,3068682000.0,1995000000.0,,17200000000.0,17200000000.0,0.32988108937476024,3.031395348837209,0.26361728268659773,0.1975258918296893,6.965413533834586,0.7142117376294591
2020-05-31,2020-09-15,10-Q,2021,Q1,52140000000.0,17200000000.0,52140000000.0,17200000000.0,,,,,12717000000.0,37239000000.0,3007161000.0,,,17200000000.0,17200000000.0,0.32988108937476024,3.031395348837209,,,,0.7142117376294591
2020-05-31,2020-12-11,10-Q,2021,Q2,52140000000.0,17200000000.0,52140000000.0,17200000000.0,,,,,12717000000.0,37239000000.0,2944034000.0,,,17200000000.0,17200000000.0,0.32988108937476024,3.031395348837209,,,,0.7142117376294591
2020-05-31,2021-03-11,10-Q,2021,Q3,52140000000.0,17200000000.0,52140000000.0,17200000000.0,,,,,12717000000.0,37239000000.0,2883535000.0,,,17200000000.0,17200000000.0,0.32988108937476024,3.031395348837209,,,,0.7142117376294591
2020-05-31,2021-06-21,10-K,2021,FY,52140000000.0,17200000000.0,52140000000.0,17200000000.0,,39068000000.0,13896000000.0,10299000000.0,12717000000.0,37239000000.0,2792000000.0,1995000000.0,,17200000000.0,17200000000.0,0.32988108937476024,3.031395348837209,0.26361728268659773,0.1975258918296893,6.965413533834586,0.7142117376294591
2020-05-31,2022-06-21,10-K,2022,FY,,,,,,39068000000.0,13896000000.0,10299000000.0,12717000000.0,,2664926000.0,1995000000.0,,,,,,0.26361728268659773,,6.965413533834586,
2020-05-31,2023-06-20,10-K,2023,FY,,,,,,,,,12717000000.0,,2714259000.0,,,,,,,,,,
2020-06-16,2020-06-22,10-K,2020,FY,,,,,,,,,,,3068682000.0,,,,,,,,,,
2020-08-31,2020-09-15,10-Q,2021,Q1,49939000000.0,18748000000.0,49939000000.0,18748000000.0,,9367000000.0,3211000000.0,2251000000.0,10140000000.0,27276000000.0,3007161000.0,614000000.0,,18748000000.0,18748000000.0,0.37541800997216607,2.6636974610625135,0.24031173267855235,0.045074991489617335,5.229641693811075,0.5461863473437594
2020-08-31,2021-09-13,10-Q,2022,Q1,,,,,,9367000000.0,3211000000.0,2251000000.0,10140000000.0,,2738179000.0,614000000.0,,,,,,0.24031173267855235,,5.229641693811075,
2020-09-04,2020-09-15,10-Q,2021,Q1,,,,,,,,,,,3007161000.0,,,,,,,,,,
2020-11-30,2020-12-11,10-Q,2021,Q2,46251000000.0,21347000000.0,46251000000.0,21347000000.0,,9800000000.0,3583000000.0,2442000000.0,8616000000.0,28001000000.0,2944034000.0,600000000.0,,21347000000.0,21347000000.0,0.46154677736697586,2.1666276291750597,0.24918367346938775,0.052798858403061553,5.971666666666667,0.6054139369959568
2020-11-30,2021-12-10,10-Q,2022,Q2,,,,,,9800000000.0,3583000000.0,2442000000.0,8616000000.0,,2670447000.0,600000000.0,,,,,,0.24918367346938775,,5.971666666666667,
2020-12-04,2020-12-11,10-Q,2021,Q2,,,,,,,,,,,2944034000.0,,,,,,,,,,
2021-02-28,2021-03-11,10-Q,2021,Q3,43744000000.0,20250000000.0,43744000000.0,20250000000.0,,10085000000.0,3878000000.0,5021000000.0,9637000000.0,22321000000.0,2883535000.0,585000000.0,,20250000000.0,20250000000.0,0.46292062911485005,2.1601975308641976,0.4978681209717402,0.11478145574250183,6.6290598290598295,0.5102642648134601
2021-02-28,2022-03-11,10-Q,2022,Q3,,,,,,10085000000.0,3878000000.0,5021000000.0,9637000000.0,,2668157000.0,585000000.0,,,,,,0.4978681209717402,,6.6290598290598295,
2021-03-05,2021-03-11,10-Q,2021,Q3,,,,,,,,,,,2883535000.0,,,,,,,,,,
2021-05-31,2021-06-21,10-K,2021,FY,55567000000.0,24164000000.0,55567000000.0,24164000000.0,,40479000000.0,15213000000.0,13926000000.0,5952000000.0,30098000000.0,2792000000.0,2496000000.0,,24164000000.0,24164000000.0,0.4348624183418216,2.299577884456216,0.3440302379011339,0.2506163730271564,6.094951923076923,0.5416524196015621
2021-05-31,2021-09-13,10-Q,2022,Q1,55567000000.0,24164000000.0,55567000000.0,24164000000.0,,,,,5952000000.0,30098000000.0,2738179000.0,,,24164000000.0,24164000000.0,0.4348624183418216,2.299577884456216,,,,0.5416524196015621
2021-05-31,2021-12-10,10-Q,2022,Q2,55567000000.0,24164000000.0,55567000000.0,24164000000.0,,,,,5952000000.0,30098000000.0,2670447000.0,,,24164000000.0,24164000000.0,0.4348624183418216,2.299577884456216,,,,0.5416524196015621
2021-05-31,2022-03-11,10-Q,2022,Q3,55567000000.0,24164000000.0,55567000000.0,24164000000.0,,,,,5952000000.0,30098000000.0,2668157000.0,,,24164000000.0,24164000000.0,0.4348624183418216,2.299577884456216,,,,0.5416524196015621
2021-05-31,2022-06-21,10-K,2022,FY,55567000000.0,24164000000.0,55567000000.0,24164000000.0,,40479000000.0,15213000000.0,13926000000.0,5952000000.0,30098000000.0,2664926000.0,2496000000.0,,24164000000.0,24164000000.0,0.4348624183418216,2.299577884456216,0.3440302379011339,0.2506163730271564,6.094951923076923,0.5416524196015621
2021-05-31,2023-06-20,10-K,2023,FY,,,,,,40479000000.0,15213000000.0,13926000000.0,5952000000.0,,2714259000.0,2496000000.0,,,,,,0.3440302379011339,,6.094951923076923,
2021-05-31,2024-06-20,10-K,2024,FY,,,,,,,,,5952000000.0,,2755860000.0,,,,,,,,,,
2021-06-15,2021-06-21,10-K,2021,FY,,,,,,,,,,,2792000000.0,,,,,,,,,,
2021-08-31,2021-09-13,10-Q,2022,Q1,47117000000.0,23071000000.0,47117000000.0,23071000000.0,,9728000000.0,3427000000.0,2457000000.0,-1130000000.0,23059000000.0,2738179000.0,705000000.0,,23071000000.0,23071000000.0,0.4896534159645139,2.0422608469507173,0.2525699013157895,0.0521467835388501,4.8609929078014185,0.48939873081902496
2021-08-31,2022-09-13,10-Q,2023,Q1,,,,,,9728000000.0,3427000000.0,2457000000.0,-1130000000.0,,2695653000.0,705000000.0,,,,,,0.2525699013157895,,4.8609929078014185,
2021-09-06,2021-09-13,10-Q,2022,Q1,,,,,,,,,,,2738179000.0,,,,,,,,,,
2021-11-30,2021-12-10,10-Q,2022,Q2,31078000000.0,18881000000.0,31078000000.0,18881000000.0,,10360000000.0,-824000000.0,-1247000000.0,-9658000000.0,17938000000.0,2670447000.0,679000000.0,,18881000000.0,18881000000.0,0.6075358774695926,1.6459933266246491,-0.12036679536679537,-0.04012484715876183,-1.2135493372606774,0.5771928695540254
2021-11-30,2022-12-13,10-Q,2023,Q2,,,,,,10360000000.0,-824000000.0,-1247000000.0,-9658000000.0,,2696253000.0,679000000.0,,,,,,-0.12036679536679537,,-1.2135493372606774,
2021-12-06,2021-12-10,10-Q,2022,Q2,,,,,,,,,,,2670447000.0,,,,,,,,,,
2022-02-28,2022-03-11,10-Q,2022,Q3,31675000000.0,20833000000.0,31675000000.0,20833000000.0,,10513000000.0,3822000000.0,2319000000.0,-8211000000.0,22682000000.0,2668157000.0,667000000.0,,20833000000.0,20833000000.0,0.6577111286503552,1.5204243267892286,0.2205840388090935,0.07321231254932913,5.730134932533733,0.7160852407261247
2022-02-28,2023-03-10,10-Q,2023,Q3,,,,,,10513000000.0,3822000000.0,2319000000.0,-8211000000.0,,2699802000.0,667000000.0,,,,,,0.2205840388090935,,5.730134932533733,
2022-03-07,2022-03-11,10-Q,2022,Q3,,,,,,,,,,,2668157000.0,,,,,,,,,,
2022-05-31,2022-06-21,10-K,2022,FY,31633000000.0,19511000000.0,31633000000.0,19511000000.0,0.0,42440000000.0,10926000000.0,6901000000.0,-5768000000.0,21383000000.0,2664926000.0,2755000000.0,,19511000000.0,19511000000.0,0.6167925900167547,1.6212905540464353,0.16260603204524035,0.21815825245787626,3.965880217785844,0.6759712957986912
2022-05-31,2022-09-13,10-Q,2023,Q1,31633000000.0,19511000000.0,31633000000.0,19511000000.0,,,,,-5768000000.0,21383000000.0,2695653000.0,,,19511000000.0,19511000000.0,0.6167925900167547,1.6212905540464353,,,,0.6759712957986912
2022-05-31,2022-12-13,10-Q,2023,Q2,31633000000.0,19511000000.0,31633000000.0,19511000000.0,,,,,-5768000000.0,21383000000.0,2696253000.0,,,19511000000.0,19511000000.0,0.6167925900167547,1.6212905540464353,,,,0.6759712957986912
2022-05-31,2023-03-10,10-Q,2023,Q3,31633000000.0,19511000000.0,31633000000.0,19511000000.0,,,,,-5768000000.0,21383000000.0,2699802000.0,,,19511000000.0,19511000000.0,0.6167925900167547,1.6212905540464353,,,,0.6759712957986912
2022-05-31,2023-06-20,10-K,2023,FY,31633000000.0,19511000000.0,31633000000.0,19511000000.0,,42440000000.0,10926000000.0,6901000000.0,-5768000000.0,21383000000.0,2714259000.0,2755000000.0,,19511000000.0,19511000000.0,0.6167925900167547,1.6212905540464353,0.16260603204524035,0.21815825245787626,3.965880217785844,0.6759712957986912
2022-05-31,2024-06-20,10-K,2024,FY,,,,,,42440000000.0,10926000000.0,6901000000.0,-5768000000.0,,2755860000.0,2755000000.0,,,,,,0.16260603204524035,,3.965880217785844,
2022-05-31,2025-06-18,10-K,2025,FY,,,,,,,,,-5768000000.0,,2808833000.0,,,,,,,,,,
2022-06-13,2022-06-21,10-K,2022,FY,,,,,,,,,,,2664926000.0,,,,,,,,,,
2022-08-31,2022-09-13,10-Q,2023,Q1,21004000000.0,34819000000.0,21004000000.0,34819000000.0,,11445000000.0,2623000000.0,1548000000.0,-5449000000.0,10448000000.0,2695653000.0,787000000.0,,34819000000.0,34819000000.0,1.6577318605979814,0.6032338665671042,0.13525557011795544,0.07370024757189107,3.3329097839898347,0.4974290611312131
2022-08-31,2023-09-12,10-Q,2024,Q1,,,,,,11445000000.0,2623000000.0,1548000000.0,-5449000000.0,,2739821000.0,787000000.0,,,,,,0.13525557011795544,,3.3329097839898347,
2022-09-08,2022-09-13,10-Q,2023,Q1,,,,,,,,,,,2695653000.0,,,,,,,,,,
2022-11-30,2022-12-13,10-Q,2023,Q2,17561000000.0,27106000000.0,17561000000.0,27106000000.0,,12275000000.0,3071000000.0,1741000000.0,-3776000000.0,6813000000.0,2696253000.0,856000000.0,,27106000000.0,27106000000.0,1.5435339673139343,0.6478639415627536,0.14183299389002035,0.09914014008313878,3.5876168224299065,0.3879619611639428
