period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,revenue,operating_income,net_income,stockholders_equity,cash,shares_outstanding,interest_expense,current_debt,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2009-11-30,2009-12-22,10-Q,2010,Q2,25235000000.0,8534000000.0,25235000000.0,8534000000.0,,5858000000.0,2178000000.0,,27915000000.0,14919000000.0,5011220000.0,-188000000.0,,8534000000.0,8534000000.0,0.33818109768179117,2.9569955472228733,,,-11.585106382978724,0.591202694670101
2009-11-30,2010-12-21,10-Q,2011,Q2,,,,,,0.0,2178000000.0,,,14919000000.0,5052420000.0,188000000.0,,,,,,,,11.585106382978724,
2009-12-15,2009-12-22,10-Q,2010,Q2,,,,,,,,,,,5011220000.0,,,,,,,,,,
2010-02-28,2010-03-29,10-Q,2010,Q3,23979000000.0,14251000000.0,23979000000.0,14251000000.0,,458000000.0,1843000000.0,,28851000000.0,9331000000.0,5019091000.0,-186000000.0,,14251000000.0,14251000000.0,0.5943116893948872,1.6826187635955372,,,-9.908602150537634,0.38913215730430795
2010-02-28,2011-03-29,10-Q,2011,Q3,,,,,,458000000.0,1843000000.0,,,9331000000.0,5060516000.0,186000000.0,,,,,,,,9.908602150537634,
2010-03-23,2010-03-29,10-Q,2010,Q3,,,,,,,,,,,5019091000.0,,,,,,,,,,
2010-05-31,2010-07-01,10-K,2010,FY,27004000000.0,14691000000.0,27004000000.0,14691000000.0,,2290000000.0,9062000000.0,6230000000.0,31199000000.0,9914000000.0,5026247000.0,-754000000.0,,14691000000.0,14691000000.0,0.5440305139979262,1.8381321897760534,2.7205240174672487,0.23070656199081618,-12.018567639257295,0.36713079543771293
2010-05-31,2010-12-21,10-Q,2011,Q2,27004000000.0,14691000000.0,27004000000.0,14691000000.0,,,,,31199000000.0,9914000000.0,5052420000.0,,,14691000000.0,14691000000.0,0.5440305139979262,1.8381321897760534,,,,0.36713079543771293
2010-05-31,2011-03-29,10-Q,2011,Q3,27004000000.0,14691000000.0,27004000000.0,14691000000.0,,,,,31199000000.0,9914000000.0,5060516000.0,,,14691000000.0,14691000000.0,0.5440305139979262,1.8381321897760534,,,,0.36713079543771293
2010-05-31,2011-06-28,10-K,2011,FY,27004000000.0,14691000000.0,27004000000.0,14691000000.0,,2290000000.0,9062000000.0,6230000000.0,31199000000.0,9914000000.0,5065515000.0,754000000.0,,14691000000.0,14691000000.0,0.5440305139979262,1.8381321897760534,2.7205240174672487,0.23070656199081618,12.018567639257295,0.36713079543771293
2010-05-31,2011-09-23,10-Q,2012,Q1,,,,,,,,,,9914000000.0,5044602000.0,,,,,,,,,,
2010-05-31,2011-12-23,10-Q,2012,Q2,,,,,,,,,,9914000000.0,5025837000.0,,,,,,,,,,
2010-05-31,2012-03-23,10-Q,2012,Q3,,,,,,,,,,9914000000.0,4975106000.0,,,,,,,,,,
2010-05-31,2012-06-26,10-K,2012,FY,,,,,,26820000000.0,9062000000.0,6230000000.0,31199000000.0,9914000000.0,4882506000.0,754000000.0,,,,,,0.23228933631618195,,12.018567639257295,
2010-05-31,2013-06-26,10-K,2013,FY,,,,,,,,,31199000000.0,9914000000.0,4630807000.0,,,,,,,,,,
2010-06-22,2010-07-01,10-K,2010,FY,,,,,,,,,,,5026247000.0,,,,,,,,,,
2010-08-31,2011-09-23,10-Q,2012,Q1,,,,,,7502000000.0,1917000000.0,,,12018000000.0,5044602000.0,196000000.0,,,,,,,,9.78061224489796,
2010-11-30,2010-12-21,10-Q,2011,Q2,32723000000.0,13336000000.0,32723000000.0,13336000000.0,,1753000000.0,2770000000.0,,34850000000.0,10420000000.0,5052420000.0,214000000.0,,13336000000.0,13336000000.0,0.4075420957736149,2.45373425314937,,,12.94392523364486,0.3184304617547291
2010-11-30,2011-12-23,10-Q,2012,Q2,,,,,,8582000000.0,2770000000.0,,,10420000000.0,5025837000.0,214000000.0,,,,,,,,12.94392523364486,
2010-12-13,2010-12-21,10-Q,2011,Q2,,,,,,,,,,,5052420000.0,,,,,,,,,,
2011-02-28,2011-03-29,10-Q,2011,Q3,32459000000.0,11282000000.0,32459000000.0,11282000000.0,,1664000000.0,2987000000.0,,37059000000.0,11864000000.0,5060516000.0,204000000.0,,11282000000.0,11282000000.0,0.3475769432206784,2.87706080482184,,,14.642156862745098,0.3655072553066946
2011-02-28,2012-03-23,10-Q,2012,Q3,,,,,,8764000000.0,2987000000.0,,,11864000000.0,4975106000.0,204000000.0,,,,,,,,14.642156862745098,
2011-03-21,2011-03-29,10-Q,2011,Q3,,,,,,,,,,,5060516000.0,,,,,,,,,,
2011-05-31,2011-06-28,10-K,2011,FY,39174000000.0,14192000000.0,39174000000.0,14192000000.0,,6944000000.0,12033000000.0,8644000000.0,40245000000.0,16163000000.0,5065515000.0,808000000.0,,14192000000.0,14192000000.0,0.3622811048144177,2.7602874859075537,1.244815668202765,0.22065655792107008,14.892326732673267,0.41259508857915966
2011-05-31,2011-09-23,10-Q,2012,Q1,39174000000.0,14192000000.0,39174000000.0,14192000000.0,,,,,40245000000.0,16163000000.0,5044602000.0,,,14192000000.0,14192000000.0,0.3622811048144177,2.7602874859075537,,,,0.41259508857915966
2011-05-31,2011-12-23,10-Q,2012,Q2,39174000000.0,14192000000.0,39174000000.0,14192000000.0,,,,,40245000000.0,16163000000.0,5025837000.0,,,14192000000.0,14192000000.0,0.3622811048144177,2.7602874859075537,,,,0.41259508857915966
2011-05-31,2012-03-23,10-Q,2012,Q3,39174000000.0,14192000000.0,39174000000.0,14192000000.0,,,,,40245000000.0,16163000000.0,4975106000.0,,,14192000000.0,14192000000.0,0.3622811048144177,2.7602874859075537,,,,0.41259508857915966
2011-05-31,2012-06-26,10-K,2012,FY,39174000000.0,14192000000.0,39174000000.0,14192000000.0,,35622000000.0,12033000000.0,8644000000.0,40245000000.0,16163000000.0,4882506000.0,808000000.0,,14192000000.0,14192000000.0,0.3622811048144177,2.7602874859075537,0.24265903093593846,0.22065655792107008,14.892326732673267,0.41259508857915966
2011-05-31,2012-09-24,10-Q,2013,Q1,,,,,,,,,,16163000000.0,4819056000000000.0,,,,,,,,,,
2011-05-31,2012-12-21,10-Q,2013,Q2,,,,,,,,,,16163000000.0,4734297000.0,,,,,,,,,,
2011-05-31,2013-03-22,10-Q,2013,Q3,,,,,,,,,,16163000000.0,4710658000.0,,,,,,,,,,
2011-05-31,2013-06-26,10-K,2013,FY,,,,,,35622000000.0,12033000000.0,8644000000.0,40245000000.0,16163000000.0,4630807000.0,808000000.0,,,,,,0.24265903093593846,,14.892326732673267,
