period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,current_debt,revenue,operating_income,net_income,stockholders_equity,cash,shares_outstanding,interest_expense,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2009-07-17,2009-07-24,10-Q,2009,Q2,,,,,,,,,,,,431807370.0,,,,,,,,,
2009-09-30,2009-10-23,10-Q,2009,Q3,6369000000.0,4537000000.0,6369000000.0,4537000000.0,116000000.0,,5449000000.0,251000000.0,199000000.0,3585000000.0,2514000000.0,432982766.0,7000000.0,4595000000.0,4653000000.0,0.7123567279007693,1.4037910513555212,0.03652046247017801,0.031245093421259224,35.857142857142854,0.39472444653791805
2009-09-30,2010-10-22,10-Q,2010,Q3,,,,,,,5449000000.0,251000000.0,199000000.0,,2514000000.0,448836757.0,7000000.0,,,,,0.03652046247017801,,35.857142857142854,
2009-09-30,2011-01-28,10-K,2010,FY,,,,,,,5449000000.0,,199000000.0,,,451003759.0,,,,,,0.03652046247017801,,,
2009-09-30,2011-10-26,10-Q,2011,Q3,,,,,,,,,,,2514000000.0,454754345.0,,,,,,,,,
2009-10-19,2009-10-23,10-Q,2009,Q3,,,,,,,,,,,,432982766.0,,,,,,,,,
2009-12-31,2010-01-29,10-K,2009,FY,9797000000.0,7364000000.0,9797000000.0,7364000000.0,109000000.0,,24509000000.0,1129000000.0,902000000.0,5257000000.0,3444000000.0,444546442.0,34000000.0,7418500000.0,7473000000.0,0.7516586710217413,1.3303910917979358,0.036802807132073935,0.09206900071450444,33.205882352941174,0.35153618454628965
2009-12-31,2010-04-23,10-Q,2010,Q1,9797000000.0,7364000000.0,9797000000.0,7364000000.0,109000000.0,,,,,5257000000.0,3444000000.0,445671637.0,,7418500000.0,7473000000.0,0.7516586710217413,1.3303910917979358,,,,0.35153618454628965
2009-12-31,2010-07-23,10-Q,2010,Q2,9797000000.0,7364000000.0,9797000000.0,7364000000.0,109000000.0,,,,,5257000000.0,3444000000.0,447825009.0,,7418500000.0,7473000000.0,0.7516586710217413,1.3303910917979358,,,,0.35153618454628965
2009-12-31,2010-10-22,10-Q,2010,Q3,9797000000.0,7364000000.0,9797000000.0,7364000000.0,109000000.0,,,,,5257000000.0,3444000000.0,448836757.0,,7418500000.0,7473000000.0,0.7516586710217413,1.3303910917979358,,,,0.35153618454628965
2009-12-31,2011-01-28,10-K,2010,FY,9797000000.0,7364000000.0,9797000000.0,7364000000.0,109000000.0,,9519000000.0,1129000000.0,384000000.0,5257000000.0,3444000000.0,451003759.0,34000000.0,7418500000.0,7473000000.0,0.7516586710217413,1.3303910917979358,0.04034037188780334,0.03919567214453404,33.205882352941174,0.35153618454628965
2009-12-31,2011-04-27,10-Q,2011,Q1,,,,,,,,,,,3444000000.0,452043073.0,,,,,,,,,
2009-12-31,2011-07-27,10-Q,2011,Q2,,,,,,,,,,,3444000000.0,453935325.0,,,,,,,,,
2009-12-31,2011-10-26,10-Q,2011,Q3,,,,,,,,,,,3444000000.0,454754345.0,,,,,,,,,
2009-12-31,2012-02-01,10-K,2011,FY,,,,,,,24509000000.0,1129000000.0,902000000.0,5257000000.0,3444000000.0,455068465.0,34000000.0,,,,,0.036802807132073935,,33.205882352941174,
2009-12-31,2013-01-30,10-K,2012,FY,,,,,,,,,,5257000000.0,3444000000.0,454551069.0,,,,,,,,,
2010-01-22,2010-01-29,10-K,2009,FY,,,,,,,,,,,,444546442.0,,,,,,,,,
2010-03-31,2010-04-23,10-Q,2010,Q1,7964000000.0,5193000000.0,7964000000.0,5193000000.0,131000000.0,,7131000000.0,394000000.0,299000000.0,5618000000.0,1844000000.0,445671637.0,7000000.0,5258500000.0,5324000000.0,0.6520592667001507,1.5336029270171385,0.04192960314121442,0.03754394776494224,56.285714285714285,0.23154193872425916
2010-03-31,2010-07-23,10-Q,2010,Q2,,,,,,,,,,,1844000000.0,447825009.0,,,,,,,,,
2010-03-31,2011-01-28,10-K,2010,FY,,,,,,,7131000000.0,,299000000.0,,,451003759.0,,,,,,0.04192960314121442,,,
2010-03-31,2011-04-27,10-Q,2011,Q1,,,,,,,7131000000.0,394000000.0,299000000.0,,1844000000.0,452043073.0,7000000.0,,,,,0.04192960314121442,,56.285714285714285,
2010-03-31,2011-07-27,10-Q,2011,Q2,,,,,,,,,,,1844000000.0,453935325.0,,,,,,,,,
2010-03-31,2012-02-01,10-K,2011,FY,,,,,,,7131000000.0,,299000000.0,,,455068465.0,,,,,,0.04192960314121442,,,
2010-03-31,2012-04-27,10-Q,2012,Q1,,,,,,,,,,,1844000000.0,450525501.0,,,,,,,,,
2010-04-16,2010-04-23,10-Q,2010,Q1,,,,,,,,,,,,445671637.0,,,,,,,,,
2010-06-30,2010-07-23,10-Q,2010,Q2,8118000000.0,5250000000.0,8118000000.0,5250000000.0,132000000.0,,6566000000.0,270000000.0,207000000.0,5857000000.0,1629000000.0,447825009.0,9000000.0,5316000000.0,5382000000.0,0.6467110125646711,1.5462857142857143,0.031526043253122145,0.025498891352549888,30.0,0.2006651884700665
2010-06-30,2010-10-22,10-Q,2010,Q3,,,,,,,,,,,1629000000.0,448836757.0,,,,,,,,,
2010-06-30,2011-01-28,10-K,2010,FY,,,,,,,6566000000.0,,207000000.0,,,451003759.0,,,,,,0.031526043253122145,,,
2010-06-30,2011-07-27,10-Q,2011,Q2,,,,,,,6566000000.0,270000000.0,207000000.0,,1629000000.0,453935325.0,9000000.0,,,,,0.031526043253122145,,30.0,
2010-06-30,2011-10-26,10-Q,2011,Q3,,,,,,,,,,,1629000000.0,454754345.0,,,,,,,,,
2010-06-30,2012-02-01,10-K,2011,FY,,,,,,,6566000000.0,,207000000.0,,,455068465.0,,,,,,0.031526043253122145,,,
