trading_date,open,high,low,close,volume,adj_close,daily_return,equity_vol_252d
2021-01-04,379.739990234375,384.6199951171875,366.1700134277344,371.70001220703125,1839800,358.4510803222656,,
2021-01-05,370.44000244140625,374.0,367.30999755859375,368.8699951171875,1117700,355.721923828125,-0.007613748832021816,
2021-01-06,359.1700134277344,364.010009765625,357.69000244140625,361.0,1537600,348.1324157714844,-0.021335508295259542,
2021-01-07,363.239990234375,370.2300109863281,360.3299865722656,368.6300048828125,1109000,355.49053955078125,0.021135991496197715,
2021-01-08,369.7900085449219,375.0299987792969,368.6000061035156,374.4599914550781,1259100,361.6915588378906,0.017443556430349227,
2021-01-11,376.1300048828125,376.760009765625,366.3800048828125,372.3399963378906,1514900,359.64385986328125,-0.0056614508261918495,
2021-01-12,371.8299865722656,372.6300048828125,362.3500061035156,365.6700134277344,1242200,353.2013854980469,-0.017913483543646413,
2021-01-13,364.9700012207031,367.3299865722656,360.5,364.9599914550781,1019500,352.5155334472656,-0.0019418158561698151,
2021-01-14,365.2900085449219,369.6300048828125,364.9700012207031,365.510009765625,1146200,353.0467834472656,0.0015070257892038086,
2021-01-15,364.8800048828125,373.8399963378906,363.0299987792969,371.010009765625,1597800,358.3592224121094,0.015047407918495459,
2021-01-19,374.8699951171875,386.3800048828125,374.3599853515625,384.95001220703125,1578400,371.823974609375,0.037573338022765634,
2021-01-20,391.6700134277344,398.1199951171875,388.9800109863281,389.4599914550781,2051800,376.1800842285156,0.0117155157187403,
2021-01-21,386.2099914550781,388.4200134277344,377.80999755859375,381.75,1736700,368.7330017089844,-0.019796589005513177,
2021-01-22,384.3999938964844,384.3999938964844,374.6400146484375,374.8500061035156,1150600,362.068359375,-0.01807443950797849,
2021-01-25,378.0400085449219,378.8399963378906,364.30999755859375,374.42999267578125,1588200,361.6626281738281,-0.001120592812562382,
2021-01-26,374.0299987792969,376.1400146484375,370.2799987792969,374.79998779296875,663500,362.02001953125,0.000988189902911607,
2021-01-27,368.010009765625,375.0,359.3299865722656,363.1099853515625,1928100,350.7286071777344,-0.03119002194446585,
2021-01-28,366.3500061035156,376.6700134277344,365.7099914550781,369.95001220703125,1395100,357.33538818359375,0.01883730289075425,
2021-01-29,366.3599853515625,369.8900146484375,359.69000244140625,361.2300109863281,1523500,348.9127502441406,-0.023570679585548593,
2021-02-01,365.489990234375,378.45001220703125,364.5899963378906,373.5799865722656,1260100,360.8415222167969,0.034188409464284364,
2021-02-02,376.3299865722656,385.4700012207031,375.5299987792969,384.1099853515625,1123400,371.012451171875,0.02818669229803139,
