period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,current_debt,revenue,operating_income,net_income,stockholders_equity,cash,shares_outstanding,interest_expense,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2010-04-02,2011-05-02,10-Q,2011,Q1,,,,,,,,2183000000.0,1626000000.0,,5684000000.0,2289254476.0,85000000.0,,,,,,,25.68235294117647,
2010-04-26,2010-04-29,10-Q,2010,Q1,,,,,,,,,,,,2307050619.0,,,,,,,,,
2010-07-02,2010-08-02,10-Q,2010,Q2,18574000000.0,13934000000.0,18574000000.0,13934000000.0,4427000000.0,544000000.0,,2763000000.0,2382000000.0,25808000000.0,7735000000.0,2309462424.0,81000000.0,2757500000.0,4971000000.0,0.7501884354473995,1.3329984211281758,,0.1282437816302358,34.111111111111114,0.4164423387530957
2010-07-02,2011-08-01,10-Q,2011,Q2,,,,,,,,2763000000.0,2382000000.0,,7735000000.0,2296096150.0,81000000.0,,,,,,,34.111111111111114,
2010-07-26,2010-08-02,10-Q,2010,Q2,,,,,,,,,,,,2309462424.0,,,,,,,,,
2010-10-01,2010-10-29,10-Q,2010,Q3,23105000000.0,17271000000.0,23105000000.0,17271000000.0,4456000000.0,547000000.0,,2344000000.0,2067000000.0,28201000000.0,10509000000.0,2322033722.0,80000000.0,2775000000.0,5003000000.0,0.7475005410084398,1.3377916739042326,,0.08946115559402727,29.3,0.454836615451201
2010-10-01,2011-10-27,10-Q,2011,Q3,,,,,,,,2344000000.0,2067000000.0,,10509000000.0,2271232205.0,80000000.0,,,,,,,29.3,
2010-10-25,2010-10-29,10-Q,2010,Q3,,,,,,,,,,,,2322033722.0,,,,,,,,,
2010-12-31,2011-02-28,10-K,2010,FY,21579000000.0,18508000000.0,21579000000.0,18508000000.0,14041000000.0,1276000000.0,,8449000000.0,11859000000.0,31317000000.0,8517000000.0,2294316831.0,733000000.0,8296500000.0,15317000000.0,0.8576857129616757,1.1659282472444348,,0.5495620742388433,11.526603001364256,0.3946892812456555
2010-12-31,2011-05-02,10-Q,2011,Q1,21579000000.0,18508000000.0,21579000000.0,18508000000.0,14041000000.0,1276000000.0,,,,31317000000.0,8517000000.0,2289254476.0,,8296500000.0,15317000000.0,0.8576857129616757,1.1659282472444348,,,,0.3946892812456555
2010-12-31,2011-08-01,10-Q,2011,Q2,21579000000.0,18508000000.0,21579000000.0,18508000000.0,14041000000.0,1276000000.0,,,,31317000000.0,8517000000.0,2296096150.0,,8296500000.0,15317000000.0,0.8576857129616757,1.1659282472444348,,,,0.3946892812456555
2010-12-31,2011-10-27,10-Q,2011,Q3,21579000000.0,18508000000.0,21579000000.0,18508000000.0,14041000000.0,1276000000.0,,,,31317000000.0,8517000000.0,2271232205.0,,8296500000.0,15317000000.0,0.8576857129616757,1.1659282472444348,,,,0.3946892812456555
2010-12-31,2012-02-23,10-K,2011,FY,21579000000.0,18508000000.0,21579000000.0,18508000000.0,14041000000.0,1276000000.0,,8449000000.0,11859000000.0,31317000000.0,8517000000.0,2263204221.0,733000000.0,8296500000.0,15317000000.0,0.8576857129616757,1.1659282472444348,,0.5495620742388433,11.526603001364256,0.3946892812456555
2010-12-31,2012-04-26,10-Q,2012,Q1,,,,,,,,,,,8517000000.0,2257934272.0,,,,,,,,,
2010-12-31,2012-07-26,10-Q,2012,Q2,,,,,,,,,,,8517000000.0,2250961597.0,,,,,,,,,
2010-12-31,2012-10-25,10-Q,2012,Q3,,,,,,,,,,,8517000000.0,4485161506.0,,,,,,,,,
2010-12-31,2013-02-27,10-K,2012,FY,,,,,,,,8413000000.0,11837000000.0,31003000000.0,8517000000.0,4456717996.0,733000000.0,,,,,,,11.4774897680764,
2010-12-31,2014-02-27,10-K,2013,FY,,,,,,,,,,,8517000000.0,4405893150.0,,,,,,,,,
2011-02-22,2011-02-28,10-K,2010,FY,,,,,,,,,,,,2294316831.0,,,,,,,,,
2011-04-01,2011-05-02,10-Q,2011,Q1,23542000000.0,21923000000.0,23542000000.0,21923000000.0,12681000000.0,1414000000.0,,2279000000.0,1913000000.0,32596000000.0,9075000000.0,2289254476.0,113000000.0,7754500000.0,14095000000.0,0.9312292923286042,1.0738493819276558,,0.08125902642086484,20.168141592920353,0.3854812675218758
2011-04-01,2012-04-26,10-Q,2012,Q1,,,,,,,,2284000000.0,1916000000.0,,9075000000.0,2257934272.0,113000000.0,,,,,,,20.212389380530972,
2011-04-26,2011-05-02,10-Q,2011,Q1,,,,,,,,,,,,2289254476.0,,,,,,,,,
2011-07-01,2011-08-01,10-Q,2011,Q2,26539000000.0,24194000000.0,26539000000.0,24194000000.0,11373000000.0,2486000000.0,,3174000000.0,2804000000.0,35424000000.0,10166000000.0,2296096150.0,84000000.0,8172500000.0,13859000000.0,0.9116394739816873,1.0969248574026618,,0.10565582727306982,37.785714285714285,0.3830588944572139
2011-07-01,2012-07-26,10-Q,2012,Q2,,,,,,,,3179000000.0,2807000000.0,,10166000000.0,2250961597.0,84000000.0,,,,,,,37.845238095238095,
2011-07-26,2011-08-01,10-Q,2011,Q2,,,,,,,,,,,,2296096150.0,,,,,,,,,
2011-09-30,2011-10-27,10-Q,2011,Q3,28191000000.0,25581000000.0,28191000000.0,25581000000.0,13708000000.0,2082000000.0,,2750000000.0,2243000000.0,33499000000.0,12682000000.0,2271232205.0,116000000.0,8936000000.0,15790000000.0,0.9074172608279238,1.1020288495367656,,0.07956439998581108,23.70689655172414,0.4498598843602568
2011-09-30,2012-10-25,10-Q,2012,Q3,,,,,,,,2754000000.0,2246000000.0,,12682000000.0,4485161506.0,116000000.0,,,,,,,23.74137931034483,
2011-10-24,2011-10-27,10-Q,2011,Q3,,,,,,,,,,,,2271232205.0,,,,,,,,,
2011-12-31,2012-02-23,10-K,2011,FY,25497000000.0,24283000000.0,25497000000.0,24283000000.0,13656000000.0,2041000000.0,,10154000000.0,8634000000.0,31921000000.0,12803000000.0,2263204221.0,417000000.0,8869000000.0,15697000000.0,0.9523865552810135,1.049993822839023,,0.338628073891046,24.350119904076738,0.5021375063732988
2011-12-31,2012-04-26,10-Q,2012,Q1,25497000000.0,24283000000.0,25497000000.0,24283000000.0,13656000000.0,2041000000.0,,,,31921000000.0,12803000000.0,2257934272.0,,8869000000.0,15697000000.0,0.9523865552810135,1.049993822839023,,,,0.5021375063732988
2011-12-31,2012-07-26,10-Q,2012,Q2,25497000000.0,24283000000.0,25497000000.0,24283000000.0,13656000000.0,2041000000.0,,,,31921000000.0,12803000000.0,2250961597.0,,8869000000.0,15697000000.0,0.9523865552810135,1.049993822839023,,,,0.5021375063732988
2011-12-31,2012-10-25,10-Q,2012,Q3,25497000000.0,24283000000.0,25497000000.0,24283000000.0,13656000000.0,2041000000.0,,,,31921000000.0,12803000000.0,4485161506.0,,8869000000.0,15697000000.0,0.9523865552810135,1.049993822839023,,,,0.5021375063732988
2011-12-31,2013-02-27,10-K,2012,FY,25497000000.0,24283000000.0,25497000000.0,24283000000.0,13656000000.0,2041000000.0,,10173000000.0,8646000000.0,31921000000.0,12803000000.0,4456717996.0,417000000.0,8869000000.0,15697000000.0,0.9523865552810135,1.049993822839023,,0.33909871749617604,24.39568345323741,0.5021375063732988
2011-12-31,2013-04-25,10-Q,2013,Q1,,,,,,,,,,,12803000000.0,4453755295.0,,,,,,,,,
