period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,current_debt,revenue,operating_income,net_income,stockholders_equity,cash,shares_outstanding,interest_expense,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2010-02-14,2010-03-17,10-Q,2010,Q2,11501000000.0,9865000000.0,11501000000.0,9865000000.0,2134000000.0,46000000.0,18356000000.0,470000000.0,305000000.0,10743000000.0,4134000000.0,440506789.0,26000000.0,1113000000.0,2180000000.0,0.8577514998695766,1.165838824125697,0.016615820440183046,0.02651943309277454,18.076923076923077,0.35944700460829493
2010-02-14,2010-10-18,10-K,2010,FY,,,,,,,18356000000.0,470000000.0,305000000.0,,,432333947.0,26000000.0,,,,,0.016615820440183046,,18.076923076923077,
2010-02-14,2011-03-17,10-Q,2011,Q2,23366000000.0,,,,,,18356000000.0,470000000.0,305000000.0,10743000000.0,4134000000.0,436859609.0,26000000.0,,,,,0.016615820440183046,0.013053154155610716,18.076923076923077,0.17692373534194983
2010-02-14,2011-10-14,10-K,2011,FY,,,,,,,18356000000.0,470000000.0,305000000.0,,,433365150.0,26000000.0,,,,,0.016615820440183046,,18.076923076923077,
2010-03-05,2010-03-17,10-Q,2010,Q2,,,,,,,,,,,,440506789.0,,,,,,,,,
2010-05-09,2010-06-10,10-Q,2010,Q3,12057000000.0,10189000000.0,12057000000.0,10189000000.0,2132000000.0,30000000.0,17385000000.0,491000000.0,311000000.0,10972000000.0,4413000000.0,439132186.0,27000000.0,1096000000.0,2162000000.0,0.8450692543750519,1.1833349690843067,0.017888984756974403,0.025794144480384838,18.185185185185187,0.3660114456332421
2010-05-09,2010-10-18,10-K,2010,FY,,,,,,,17385000000.0,491000000.0,311000000.0,,,432333947.0,27000000.0,,,,,0.017888984756974403,,18.185185185185187,
2010-05-09,2011-06-09,10-Q,2011,Q3,23899000000.0,,,,,,17385000000.0,491000000.0,311000000.0,10972000000.0,4413000000.0,437812960.0,27000000.0,,,,,0.017888984756974403,0.013013096782292146,18.185185185185187,0.18465207749278212
2010-05-09,2011-10-14,10-K,2011,FY,,,,,,,17385000000.0,491000000.0,311000000.0,,,433365150.0,27000000.0,,,,,0.017888984756974403,,18.185185185185187,
2010-05-28,2010-06-10,10-Q,2010,Q3,,,,,,,,,,,,439132186.0,,,,,,,,,
2010-08-29,2010-10-18,10-K,2010,FY,11708000000.0,10063000000.0,11708000000.0,10063000000.0,2141000000.0,26000000.0,23592000000.0,688000000.0,437000000.0,10930000000.0,3214000000.0,432333947.0,34000000.0,1096500000.0,2167000000.0,0.8594977792962077,1.1634701381297823,0.018523228212953543,0.03732490604714725,20.235294117647058,0.27451315339938503
2010-08-29,2010-12-17,10-Q,2011,Q1,11708000000.0,10063000000.0,11708000000.0,10063000000.0,2141000000.0,26000000.0,77946000000.0,2077000000.0,,10930000000.0,3214000000.0,436524744.0,,1096500000.0,2167000000.0,0.8594977792962077,1.1634701381297823,,,,0.27451315339938503
2010-08-29,2011-03-17,10-Q,2011,Q2,11708000000.0,10063000000.0,11708000000.0,10063000000.0,2141000000.0,26000000.0,77946000000.0,2077000000.0,,10930000000.0,3214000000.0,436859609.0,,1096500000.0,2167000000.0,0.8594977792962077,1.1634701381297823,,,,0.27451315339938503
2010-08-29,2011-06-09,10-Q,2011,Q3,11708000000.0,10063000000.0,11708000000.0,10063000000.0,2141000000.0,26000000.0,77946000000.0,2077000000.0,,10930000000.0,3214000000.0,437812960.0,,1096500000.0,2167000000.0,0.8594977792962077,1.1634701381297823,,,,0.27451315339938503
2010-08-29,2011-10-14,10-K,2011,FY,11708000000.0,10063000000.0,11708000000.0,10063000000.0,2141000000.0,26000000.0,23592000000.0,688000000.0,437000000.0,10930000000.0,3214000000.0,433365150.0,34000000.0,1096500000.0,2167000000.0,0.8594977792962077,1.1634701381297823,0.018523228212953543,0.03732490604714725,20.235294117647058,0.27451315339938503
2010-08-29,2011-12-16,10-Q,2012,Q1,,,,,,,,,,10930000000.0,3214000000.0,434928977.0,,,,,,,,,
2010-08-29,2012-03-15,10-Q,2012,Q2,,,,,,,,,,10930000000.0,3214000000.0,433973086.0,,,,,,,,,
2010-08-29,2012-06-06,10-Q,2012,Q3,,,,,,,,,,10930000000.0,3214000000.0,432344799.0,,,,,,,,,
2010-08-29,2012-10-19,10-K,2012,FY,23815000000.0,,,,,,76255000000.0,2077000000.0,1323000000.0,10930000000.0,3214000000.0,432424379.0,111000000.0,,,,,0.017349681988066357,0.05555322275876549,18.71171171171171,0.13495695989922318
