period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,current_debt,operating_income,net_income,stockholders_equity,cash,shares_outstanding,interest_expense,revenue,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2016-07-03,2018-02-16,10-K,2017,FY,,,,,,,,955000000.0,,,1218801890.0,,,,,,,,,,
2016-07-31,2016-08-05,10-Q,2016,Q2,,,,,,,,,,,1217650866.0,,,,,,,,,,
2016-10-02,2016-11-04,10-Q,2016,Q3,8943000000.0,9414000000.0,8943000000.0,9414000000.0,,653000000.0,1413000000.0,843000000.0,57868000000.0,3920000000.0,1217270219.0,311000000.0,,653000000.0,653000000.0,1.0526668903052667,0.949968132568515,,0.09426366990942636,4.543408360128617,0.4383316560438332
2016-10-02,2017-02-23,10-K,2016,FY,,,,,,,,843000000.0,,,1217136057.0,,,,,,,,,,
2016-10-02,2017-11-07,10-Q,2017,Q3,,,,,,,1413000000.0,843000000.0,,3971000000.0,1218467836.0,311000000.0,,,,,,,,4.543408360128617,
2016-10-02,2018-02-16,10-K,2017,FY,,,,,,,,843000000.0,,,1218801890.0,,,,,,,,,,
2016-10-30,2016-11-04,10-Q,2016,Q3,,,,,,,,,,,1217270219.0,,,,,,,,,,
2016-12-31,2017-02-23,10-K,2016,FY,8753000000.0,9501000000.0,8753000000.0,9501000000.0,,645000000.0,6142000000.0,944000000.0,57574000000.0,4204000000.0,1217136057.0,1134000000.0,,645000000.0,645000000.0,1.085456414943448,0.921271445111041,,0.10784873757568833,5.416225749559083,0.48029247115274765
2016-12-31,2017-05-04,10-Q,2017,Q1,8753000000.0,9501000000.0,8753000000.0,9501000000.0,,645000000.0,,,57574000000.0,4204000000.0,1217633003.0,,,645000000.0,645000000.0,1.085456414943448,0.921271445111041,,,,0.48029247115274765
2016-12-31,2017-08-04,10-Q,2017,Q2,8753000000.0,9501000000.0,8753000000.0,9501000000.0,,645000000.0,,,57574000000.0,4255000000.0,1218251122.0,,,645000000.0,645000000.0,1.085456414943448,0.921271445111041,,,,0.4861190448988918
2016-12-31,2017-11-07,10-Q,2017,Q3,8753000000.0,9501000000.0,8753000000.0,9501000000.0,,645000000.0,,,57574000000.0,4255000000.0,1218467836.0,,,645000000.0,645000000.0,1.085456414943448,0.921271445111041,,,,0.4861190448988918
2016-12-31,2018-02-16,10-K,2017,FY,8753000000.0,9501000000.0,8753000000.0,9501000000.0,,645000000.0,6142000000.0,944000000.0,57574000000.0,4255000000.0,1218801890.0,1134000000.0,,645000000.0,645000000.0,1.085456414943448,0.921271445111041,,0.10784873757568833,5.416225749559083,0.4861190448988918
2016-12-31,2018-05-03,10-Q,2018,Q1,,,,,,,,,,4255000000.0,1219172261.0,,,,,,,,,,
2016-12-31,2018-08-03,10-Q,2018,Q2,,,,,,,,,,4255000000.0,1219248231.0,,,,,,,,,,
2016-12-31,2018-11-02,10-Q,2018,Q3,,,,,,,,,,4255000000.0,1219434812.0,,,,,,,,,,
2016-12-31,2019-06-07,10-K,2018,FY,,,,,,,5601000000.0,3606000000.0,57460000000.0,4255000000.0,1219938804.0,1134000000.0,,,,,,,,4.939153439153439,
2016-12-31,2020-02-14,10-K,2019,FY,,,,,,,,,57460000000.0,4255000000.0,1221399549.0,,,,,,,,,,
2017-02-18,2017-02-23,10-K,2016,FY,,,,,,,,,,,1217136057.0,,,,,,,,,,
2017-04-01,2017-05-04,10-Q,2017,Q1,8875000000.0,9383000000.0,8875000000.0,9383000000.0,,909000000.0,1551000000.0,891000000.0,57944000000.0,3242000000.0,1217633003.0,313000000.0,,909000000.0,909000000.0,1.0572394366197184,0.9458595331983374,,0.1003943661971831,4.955271565495208,0.3652957746478873
2017-04-01,2018-02-16,10-K,2017,FY,,,,,,,,891000000.0,,,1218801890.0,,,,,,,,,,
2017-04-01,2018-05-03,10-Q,2018,Q1,,,,,,,1433000000.0,891000000.0,,3282000000.0,1219172261.0,313000000.0,,,,,,,,4.578274760383387,
2017-04-01,2019-06-07,10-K,2018,FY,9039000000.0,9641000000.0,9039000000.0,9641000000.0,,909000000.0,1418000000.0,881000000.0,57818000000.0,3282000000.0,1219938804.0,313000000.0,,909000000.0,909000000.0,1.0666002876424383,0.9375583445700654,,0.09746653390861822,4.5303514376996805,0.36309326252904084
2017-04-29,2017-05-04,10-Q,2017,Q1,,,,,,,,,,,1217633003.0,,,,,,,,,,
2017-07-01,2017-08-04,10-Q,2017,Q2,7108000000.0,7356000000.0,7108000000.0,7356000000.0,,1090000000.0,1921000000.0,1160000000.0,58546000000.0,1518000000.0,1218251122.0,307000000.0,,1090000000.0,1090000000.0,1.0348902644907148,0.9662860250135944,,0.16319639842431063,6.257328990228013,0.21356218345526168
2017-07-01,2018-02-16,10-K,2017,FY,,,,,,,,1160000000.0,,,1218801890.0,,,,,,,,,,
2017-07-01,2018-08-03,10-Q,2018,Q2,,,,,,,1644000000.0,1160000000.0,,1518000000.0,1219248231.0,307000000.0,,,,,,,,5.355048859934853,
2017-07-01,2019-06-07,10-K,2018,FY,7034000000.0,7408000000.0,7034000000.0,7408000000.0,,1090000000.0,1639000000.0,1157000000.0,58420000000.0,1518000000.0,1219938804.0,307000000.0,,1090000000.0,1090000000.0,1.0531703156098948,0.9495140388768899,,0.16448677850440716,5.3387622149837135,0.21580892806369065
2017-07-29,2017-08-04,10-Q,2017,Q2,,,,,,,,,,,1218251122.0,,,,,,,,,,
2017-09-30,2017-11-07,10-Q,2017,Q3,7228000000.0,9387000000.0,7228000000.0,9387000000.0,,455000000.0,1661000000.0,943000000.0,58971000000.0,1549000000.0,1218467836.0,306000000.0,,455000000.0,455000000.0,1.298699501936912,0.7700010653030788,,0.13046485888212506,5.428104575163399,0.2143054786939679
