period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,current_debt,operating_income,net_income,stockholders_equity,cash,shares_outstanding,interest_expense,revenue,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2019-12-28,2022-02-17,10-K,2021,FY,,,,,,,3070000000.0,1933000000.0,51749000000.0,2280000000.0,1223740203.0,1361000000.0,,,,,,,,2.2556943423952975,
2019-12-28,2023-02-16,10-K,2022,FY,,,,,,,,,51749000000.0,2280000000.0,1225003377.0,,,,,,,,,,
2020-02-08,2020-02-14,10-K,2019,FY,,,,,,,,,,,1221399549.0,,,,,,,,,,
2020-03-28,2020-05-01,10-Q,2020,Q1,11708000000.0,7934000000.0,11708000000.0,7934000000.0,,6000000.0,770000000.0,381000000.0,51124000000.0,5404000000.0,1221833078.0,310000000.0,,6000000.0,6000000.0,0.6776563033823026,1.4756743130829342,,0.032541851725316026,2.4838709677419355,0.4615647420567134
2020-03-28,2020-07-31,10-Q,2020,Q2,,,,,,,,,51124000000.0,,1222578592.0,,,,,,,,,,
2020-03-28,2020-10-30,10-Q,2020,Q3,,,,,,,,,51124000000.0,,1222623168.0,,,,,,,,,,
2020-03-28,2021-02-17,10-K,2020,FY,,,,,,,,381000000.0,,,1223175747.0,,,,,,,,,,
2020-03-28,2021-04-30,10-Q,2021,Q1,,,,,,,770000000.0,381000000.0,51124000000.0,5404000000.0,1223147340.0,310000000.0,,,,,,,,2.4838709677419355,
2020-03-28,2021-08-04,10-Q,2021,Q2,,,,,,,,,51124000000.0,,1223387136.0,,,,,,,,,,
2020-03-28,2021-10-28,10-Q,2021,Q3,,,,,,,,,51124000000.0,,1225261485.0,,,,,,,,,,
2020-04-25,2020-05-01,10-Q,2020,Q1,,,,,,,,,,,1221833078.0,,,,,,,,,,
2020-06-27,2020-07-31,10-Q,2020,Q2,8776000000.0,8050000000.0,8776000000.0,8050000000.0,,6000000.0,-1339000000.0,-1652000000.0,49166000000.0,2813000000.0,1222578592.0,442000000.0,,6000000.0,6000000.0,0.9172743846855059,1.0901863354037267,,-0.18824065633546036,-3.0294117647058822,0.32053327256153147
2020-06-27,2020-10-30,10-Q,2020,Q3,,,,,,,,,49166000000.0,,1222623168.0,,,,,,,,,,
2020-06-27,2021-02-17,10-K,2020,FY,,,,,,,,-1652000000.0,,,1223175747.0,,,,,,,,,,
2020-06-27,2021-08-04,10-Q,2021,Q2,,,,,,,-1339000000.0,-1652000000.0,49166000000.0,2813000000.0,1223387136.0,442000000.0,,,,,,,,-3.0294117647058822,
2020-06-27,2021-10-28,10-Q,2021,Q3,,,,,,,,,49166000000.0,,1225261485.0,,,,,,,,,,
2020-07-25,2020-07-31,10-Q,2020,Q2,,,,,,,,,,,1222578592.0,,,,,,,,,,
2020-09-26,2020-10-30,10-Q,2020,Q3,10065000000.0,7694000000.0,10065000000.0,7694000000.0,,6000000.0,1147000000.0,598000000.0,49341000000.0,2721000000.0,1222623168.0,314000000.0,,6000000.0,6000000.0,0.7644311972180825,1.3081622043150507,,0.05941381023348236,3.6528662420382165,0.27034277198211626
2020-09-26,2021-02-17,10-K,2020,FY,,,,,,,,598000000.0,,,1223175747.0,,,,,,,,,,
2020-09-26,2021-10-28,10-Q,2021,Q3,,,,,,,1147000000.0,598000000.0,49341000000.0,2721000000.0,1225261485.0,314000000.0,,,,,,,,3.6528662420382165,
2020-10-24,2020-10-30,10-Q,2020,Q3,,,,,,,,,,,1222623168.0,,,,,,,,,,
2020-12-26,2021-02-17,10-K,2020,FY,10822000000.0,8061000000.0,10822000000.0,8061000000.0,,6000000.0,2128000000.0,1034000000.0,50243000000.0,3418000000.0,1223175747.0,1394000000.0,,6000000.0,6000000.0,0.7448715579375347,1.342513335814415,,0.09554610977638145,1.526542324246772,0.31583810755867675
2020-12-26,2021-04-30,10-Q,2021,Q1,10822000000.0,8061000000.0,10822000000.0,8061000000.0,,6000000.0,,,50243000000.0,3418000000.0,1223147340.0,,,6000000.0,6000000.0,0.7448715579375347,1.342513335814415,,,,0.31583810755867675
2020-12-26,2021-08-04,10-Q,2021,Q2,10822000000.0,8061000000.0,10822000000.0,8061000000.0,,6000000.0,,,50243000000.0,3418000000.0,1223387136.0,,,6000000.0,6000000.0,0.7448715579375347,1.342513335814415,,,,0.31583810755867675
2020-12-26,2021-10-28,10-Q,2021,Q3,10822000000.0,8061000000.0,10822000000.0,8061000000.0,,6000000.0,,,50243000000.0,3418000000.0,1225261485.0,,,6000000.0,6000000.0,0.7448715579375347,1.342513335814415,,,,0.31583810755867675
2020-12-26,2022-02-17,10-K,2021,FY,10822000000.0,8061000000.0,10822000000.0,8061000000.0,,6000000.0,2128000000.0,361000000.0,50243000000.0,3418000000.0,1223740203.0,1394000000.0,,6000000.0,6000000.0,0.7448715579375347,1.342513335814415,,0.03335797449639623,1.526542324246772,0.31583810755867675
2020-12-26,2022-04-28,10-Q,2022,Q1,,,,,,,,,50243000000.0,3418000000.0,1223951939.0,,,,,,,,,,
2020-12-26,2022-07-28,10-Q,2022,Q2,,,,,,,,,50243000000.0,3418000000.0,1225439747.0,,,,,,,,,,
2020-12-26,2022-10-27,10-Q,2022,Q3,,,,,,,,,50243000000.0,3418000000.0,1224930164.0,,,,,,,,,,
2020-12-26,2023-02-16,10-K,2022,FY,,,,,,,2128000000.0,361000000.0,50243000000.0,3418000000.0,1225003377.0,1394000000.0,,,,,,,,1.526542324246772,
2020-12-26,2024-02-15,10-K,2023,FY,,,,,,,,,50243000000.0,3418000000.0,1213099787.0,,,,,,,,,,
2021-02-13,2021-02-17,10-K,2020,FY,,,,,,,,,,,1223175747.0,,,,,,,,,,
2021-03-27,2021-04-30,10-Q,2021,Q1,13136000000.0,7570000000.0,13136000000.0,7570000000.0,,6000000.0,1089000000.0,568000000.0,50431000000.0,2361000000.0,1223147340.0,415000000.0,,6000000.0,6000000.0,0.576278928136419,1.7352708058124173,,0.043239951278928136,2.6240963855421686,0.17973507917174178
2021-03-27,2021-08-04,10-Q,2021,Q2,,,,,,,,,50431000000.0,,1223387136.0,,,,,,,,,,
2021-03-27,2021-10-28,10-Q,2021,Q3,,,,,,,,,50431000000.0,,1225261485.0,,,,,,,,,,
2021-03-27,2022-04-28,10-Q,2022,Q1,,,,,,,1089000000.0,568000000.0,50431000000.0,2361000000.0,1223951939.0,415000000.0,,,,,,,,2.6240963855421686,
2021-03-27,2022-07-28,10-Q,2022,Q2,,,,,,,,,50431000000.0,,1225439747.0,,,,,,,,,,
2021-03-27,2022-10-27,10-Q,2022,Q3,,,,,,,,,50431000000.0,,1224930164.0,,,,,,,,,,
2021-04-24,2021-04-30,10-Q,2021,Q1,,,,,,,,,,,1223147340.0,,,,,,,,,,
2021-06-26,2021-08-04,10-Q,2021,Q2,11385000000.0,9879000000.0,11385000000.0,9879000000.0,,6000000.0,1235000000.0,-25000000.0,50142000000.0,3942000000.0,1223387136.0,613000000.0,,6000000.0,6000000.0,0.8677206851119894,1.1524445794108715,,-0.0021958717610891525,2.0146818923327894,0.34624505928853755
2021-06-26,2021-10-28,10-Q,2021,Q3,,,,,,,,,50142000000.0,,1225261485.0,,,,,,,,,,
2021-06-26,2022-07-28,10-Q,2022,Q2,,,,,,,1235000000.0,-25000000.0,50142000000.0,3942000000.0,1225439747.0,613000000.0,,,,,,,,2.0146818923327894,
2021-06-26,2022-10-27,10-Q,2022,Q3,,,,,,,,,50142000000.0,,1224930164.0,,,,,,,,,,
2021-07-31,2021-08-04,10-Q,2021,Q2,,,,,,,,,,,1223387136.0,,,,,,,,,,
2021-09-25,2021-10-28,10-Q,2021,Q3,9557000000.0,8455000000.0,9557000000.0,8455000000.0,,1000000.0,1156000000.0,736000000.0,50238000000.0,2274000000.0,1225261485.0,415000000.0,,1000000.0,1000000.0,0.8846918489065606,1.1303370786516853,,0.077011614523386,2.7855421686746986,0.23794077639426597
2021-09-25,2022-10-27,10-Q,2022,Q3,,,,,,,1156000000.0,736000000.0,50238000000.0,2274000000.0,1224930164.0,415000000.0,,,,,,,,2.7855421686746986,
2021-10-23,2021-10-28,10-Q,2021,Q3,,,,,,,,,,,1225261485.0,,,,,,,,,,
2021-12-25,2022-02-17,10-K,2021,FY,8994000000.0,9064000000.0,8994000000.0,9064000000.0,,14000000.0,3460000000.0,1024000000.0,49448000000.0,3446000000.0,1223740203.0,2047000000.0,,14000000.0,14000000.0,1.0077829664220592,0.9922771403353927,,0.11385368023126528,1.6902784562774793,0.3831443184345119
2021-12-25,2022-04-28,10-Q,2022,Q1,8994000000.0,9064000000.0,8994000000.0,9064000000.0,,14000000.0,,,49448000000.0,3446000000.0,1223951939.0,,,14000000.0,14000000.0,1.0077829664220592,0.9922771403353927,,,,0.3831443184345119
2021-12-25,2022-07-28,10-Q,2022,Q2,8994000000.0,9064000000.0,8994000000.0,9064000000.0,,14000000.0,,,49448000000.0,3446000000.0,1225439747.0,,,14000000.0,14000000.0,1.0077829664220592,0.9922771403353927,,,,0.3831443184345119
2021-12-25,2022-10-27,10-Q,2022,Q3,8994000000.0,9064000000.0,8994000000.0,9064000000.0,,14000000.0,,,49448000000.0,3446000000.0,1224930164.0,,,14000000.0,14000000.0,1.0077829664220592,0.9922771403353927,,,,0.3831443184345119
2021-12-25,2023-02-16,10-K,2022,FY,8994000000.0,9064000000.0,8994000000.0,9064000000.0,,14000000.0,3460000000.0,1024000000.0,49448000000.0,3446000000.0,1225003377.0,2047000000.0,,14000000.0,14000000.0,1.0077829664220592,0.9922771403353927,,0.11385368023126528,1.6902784562774793,0.3831443184345119
2021-12-25,2023-05-03,10-Q,2022,Q3,,,,,,,,,49448000000.0,3446000000.0,1227237484.0,,,,,,,,,,
2021-12-25,2023-08-02,10-Q,2023,Q2,,,,,,,,,49448000000.0,3446000000.0,1228294502.0,,,,,,,,,,
2021-12-25,2023-11-01,10-Q,2023,Q3,,,,,,,,,49448000000.0,3446000000.0,1226538694.0,,,,,,,,,,
2021-12-25,2024-02-15,10-K,2023,FY,,,,,,,3460000000.0,1024000000.0,49448000000.0,3446000000.0,1213099787.0,2047000000.0,,,,,,,,1.6902784562774793,
2021-12-25,2025-02-13,10-K,2024,FY,,,,,,,,,49448000000.0,3446000000.0,1194989953.0,,,,,,,,,,
2022-02-12,2022-02-17,10-K,2021,FY,,,,,,,,,,,1223740203.0,,,,,,,,,,
2022-03-26,2022-04-28,10-Q,2022,Q1,9275000000.0,9064000000.0,9275000000.0,9064000000.0,,50000000.0,1115000000.0,781000000.0,49797000000.0,2980000000.0,1223951939.0,242000000.0,,50000000.0,50000000.0,0.9772506738544474,1.023278905560459,,0.08420485175202157,4.607438016528926,0.3212938005390836
2022-03-26,2022-07-28,10-Q,2022,Q2,,,,,,,,,49797000000.0,,1225439747.0,,,,,,,,,,
2022-03-26,2022-10-27,10-Q,2022,Q3,,,,,,,,,49797000000.0,,1224930164.0,,,,,,,,,,
2022-03-26,2023-05-03,10-Q,2022,Q3,,,,,,,1115000000.0,781000000.0,49797000000.0,2980000000.0,1227237484.0,242000000.0,,,,,,,,4.607438016528926,
2022-03-26,2023-08-02,10-Q,2023,Q2,,,,,,,,,49797000000.0,,1228294502.0,,,,,,,,,,
2022-03-26,2023-11-01,10-Q,2023,Q3,,,,,,,,,49797000000.0,,1226538694.0,,,,,,,,,,
2022-04-23,2022-04-28,10-Q,2022,Q1,,,,,,,,,,,1223951939.0,,,,,,,,,,
2022-06-25,2022-07-28,10-Q,2022,Q2,8138000000.0,9119000000.0,8138000000.0,9119000000.0,,47000000.0,542000000.0,265000000.0,48962000000.0,1519000000.0,1225439747.0,234000000.0,,47000000.0,47000000.0,1.1205455885967068,0.8924224147384582,,0.03256328336200541,2.3162393162393164,0.18665519783730647
2022-06-25,2022-10-27,10-Q,2022,Q3,,,,,,,,,48962000000.0,,1224930164.0,,,,,,,,,,
2022-06-25,2023-08-02,10-Q,2023,Q2,,,,,,,542000000.0,265000000.0,48962000000.0,1519000000.0,1228294502.0,234000000.0,,,,,,,,2.3162393162393164,
2022-06-25,2023-11-01,10-Q,2023,Q3,,,,,,,,,48962000000.0,,1226538694.0,,,,,,,,,,
2022-07-23,2022-07-28,10-Q,2022,Q2,,,,,,,,,,,1225439747.0,,,,,,,,,,
2022-09-24,2022-10-27,10-Q,2022,Q3,7860000000.0,8686000000.0,7860000000.0,8686000000.0,,4000000.0,751000000.0,435000000.0,48306000000.0,998000000.0,1224930164.0,228000000.0,,4000000.0,4000000.0,1.105089058524173,0.9049044439327654,,0.05534351145038168,3.293859649122807,0.12697201017811705
2022-09-24,2023-11-01,10-Q,2023,Q3,,,,,,,751000000.0,435000000.0,48306000000.0,998000000.0,1226538694.0,228000000.0,,,,,,,,3.293859649122807,
2022-10-22,2022-10-27,10-Q,2022,Q3,,,,,,,,,,,1224930164.0,,,,,,,,,,
2022-12-31,2023-02-16,10-K,2022,FY,7897000000.0,9028000000.0,7897000000.0,9028000000.0,,6000000.0,3634000000.0,2368000000.0,48830000000.0,1041000000.0,1225003377.0,921000000.0,,6000000.0,6000000.0,1.1432189439027478,0.8747230837394772,,0.2998607065974421,3.9457111834961998,0.13182221096618968
2022-12-31,2023-05-03,10-Q,2022,Q3,7897000000.0,9028000000.0,7897000000.0,9028000000.0,,6000000.0,,,48830000000.0,1041000000.0,1227237484.0,,,6000000.0,6000000.0,1.1432189439027478,0.8747230837394772,,,,0.13182221096618968
2022-12-31,2023-08-02,10-Q,2023,Q2,7897000000.0,9028000000.0,7897000000.0,9028000000.0,,6000000.0,,,48830000000.0,1041000000.0,1228294502.0,,,6000000.0,6000000.0,1.1432189439027478,0.8747230837394772,,,,0.13182221096618968
2022-12-31,2023-11-01,10-Q,2023,Q3,7897000000.0,9028000000.0,7897000000.0,9028000000.0,,6000000.0,,,48830000000.0,1041000000.0,1226538694.0,,,6000000.0,6000000.0,1.1432189439027478,0.8747230837394772,,,,0.13182221096618968
2022-12-31,2024-02-15,10-K,2023,FY,7897000000.0,9028000000.0,7897000000.0,9028000000.0,,6000000.0,3634000000.0,2368000000.0,48830000000.0,1041000000.0,1213099787.0,921000000.0,,6000000.0,6000000.0,1.1432189439027478,0.8747230837394772,,0.2998607065974421,3.9457111834961998,0.13182221096618968
2022-12-31,2024-05-01,10-Q,2024,Q1,,,,,,,,,48830000000.0,1041000000.0,1214298182.0,,,,,,,,,,
2022-12-31,2024-07-31,10-Q,2024,Q2,,,,,,,,,48830000000.0,1041000000.0,1209078897.0,,,,,,,,,,
2022-12-31,2024-10-30,10-Q,2024,Q3,,,,,,,,,48830000000.0,1041000000.0,1209174894.0,,,,,,,,,,
2022-12-31,2025-02-13,10-K,2024,FY,,,,,,,3634000000.0,2368000000.0,48830000000.0,1041000000.0,1194989953.0,921000000.0,,,,,,,,3.9457111834961998,
2022-12-31,2026-02-12,10-K,2025,FY,,,,,,,,,48830000000.0,1041000000.0,1183744751.0,,,,,,,,,,
2023-02-11,2023-02-16,10-K,2022,FY,,,,,,,,,,,1225003377.0,,,,,,,,,,
2023-04-01,2023-05-03,10-Q,2022,Q3,8216000000.0,8954000000.0,8216000000.0,8954000000.0,,2000000.0,1243000000.0,837000000.0,49313000000.0,828000000.0,1227237484.0,227000000.0,,2000000.0,2000000.0,1.0898247322297956,0.9175787357605539,,0.10187439143135346,5.475770925110132,0.10077896786757547
2023-04-01,2023-08-02,10-Q,2023,Q2,,,,,,,,,49313000000.0,,1228294502.0,,,,,,,,,,
2023-04-01,2023-11-01,10-Q,2023,Q3,,,,,,,,,49313000000.0,,1226538694.0,,,,,,,,,,
2023-04-01,2024-05-01,10-Q,2024,Q1,,,,,,,1243000000.0,837000000.0,49313000000.0,828000000.0,1214298182.0,227000000.0,,,,,,,,5.475770925110132,
2023-04-01,2024-07-31,10-Q,2024,Q2,,,,,,,,,49313000000.0,,1209078897.0,,,,,,,,,,
2023-04-01,2024-10-30,10-Q,2024,Q3,,,,,,,,,49313000000.0,,1209174894.0,,,,,,,,,,
2023-04-29,2023-05-03,10-Q,2022,Q3,,,,,,,,,,,1227237484.0,,,,,,,,,,
2023-07-01,2023-08-02,10-Q,2023,Q2,7994000000.0,8385000000.0,7994000000.0,8385000000.0,,1000000.0,1376000000.0,998000000.0,49974000000.0,949000000.0,1228294502.0,228000000.0,,1000000.0,1000000.0,1.048911683762822,0.9533691115086463,,0.12484363272454341,6.035087719298246,0.11871403552664499
2023-07-01,2023-11-01,10-Q,2023,Q3,,,,,,,,,49974000000.0,,1226538694.0,,,,,,,,,,
2023-07-01,2024-07-31,10-Q,2024,Q2,,,,,,,1376000000.0,998000000.0,49974000000.0,949000000.0,1209078897.0,228000000.0,,,,,,,,6.035087719298246,
2023-07-01,2024-10-30,10-Q,2024,Q3,,,,,,,,,49974000000.0,,1209174894.0,,,,,,,,,,
2023-07-29,2023-08-02,10-Q,2023,Q2,,,,,,,,,,,1228294502.0,,,,,,,,,,
2023-09-30,2023-11-01,10-Q,2023,Q3,7838000000.0,7804000000.0,7838000000.0,7804000000.0,,0.0,653000000.0,254000000.0,49434000000.0,1054000000.0,1226538694.0,228000000.0,,0.0,0.0,0.9956621587139577,1.004356740133265,,0.03240622607808114,2.8640350877192984,0.13447307986731308
2023-09-30,2024-10-30,10-Q,2024,Q3,,,,,,,653000000.0,254000000.0,49434000000.0,1054000000.0,1209174894.0,228000000.0,,,,,,,,2.8640350877192984,
2023-10-28,2023-11-01,10-Q,2023,Q3,,,,,,,,,,,1226538694.0,,,,,,,,,,
2023-12-30,2024-02-15,10-K,2023,FY,7929000000.0,8037000000.0,7929000000.0,8037000000.0,,0.0,4572000000.0,2846000000.0,49688000000.0,1404000000.0,1213099787.0,912000000.0,,0.0,0.0,1.0136208853575484,0.986562150055991,,0.3589355530331694,5.0131578947368425,0.17707150964812712
2023-12-30,2024-05-01,10-Q,2024,Q1,7929000000.0,8037000000.0,7929000000.0,8037000000.0,,,,,49688000000.0,1404000000.0,1214298182.0,,,8037000000.0,8037000000.0,1.0136208853575484,0.986562150055991,,,,0.17707150964812712
2023-12-30,2024-07-31,10-Q,2024,Q2,7929000000.0,8037000000.0,7929000000.0,8037000000.0,,,,,49688000000.0,1404000000.0,1209078897.0,,,8037000000.0,8037000000.0,1.0136208853575484,0.986562150055991,,,,0.17707150964812712
2023-12-30,2024-10-30,10-Q,2024,Q3,7929000000.0,8037000000.0,7929000000.0,8037000000.0,,0.0,,,49688000000.0,1404000000.0,1209174894.0,,,0.0,0.0,1.0136208853575484,0.986562150055991,,,,0.17707150964812712
2023-12-30,2025-02-13,10-K,2024,FY,7929000000.0,8037000000.0,7929000000.0,8037000000.0,,,4572000000.0,2846000000.0,49688000000.0,1404000000.0,1194989953.0,912000000.0,,8037000000.0,8037000000.0,1.0136208853575484,0.986562150055991,,0.3589355530331694,5.0131578947368425,0.17707150964812712
2023-12-30,2025-04-29,10-Q,2025,Q1,,,,,,,,,49688000000.0,1404000000.0,1183542101.0,,,,,,,,,,
2023-12-30,2025-07-30,10-Q,2025,Q2,,,,,,,,,49688000000.0,1404000000.0,1183599215.0,,,,,,,,,,
2023-12-30,2025-10-29,10-Q,2025,Q3,,,,,,,,,49688000000.0,1404000000.0,1183655579.0,,,,,,,,,,
2023-12-30,2026-02-12,10-K,2025,FY,,,,,,,4572000000.0,2846000000.0,49688000000.0,1404000000.0,1183744751.0,912000000.0,,,,,,,,5.0131578947368425,
2024-02-10,2024-02-15,10-K,2023,FY,,,,,,,,,,,1213099787.0,,,,,,,,,,
2024-03-30,2024-05-01,10-Q,2024,Q1,8233000000.0,7571000000.0,8233000000.0,7571000000.0,,,1302000000.0,804000000.0,49653000000.0,1628000000.0,1214298182.0,226000000.0,,7571000000.0,7571000000.0,0.9195918863111867,1.0874389116365077,,0.09765577553747115,5.761061946902655,0.1977407992226406
2024-03-30,2024-07-31,10-Q,2024,Q2,,,,,,,,,49653000000.0,,1209078897.0,,,,,,,,,,
2024-03-30,2024-10-30,10-Q,2024,Q3,,,,,,,,,49653000000.0,,1209174894.0,,,,,,,,,,
2024-03-30,2025-04-29,10-Q,2025,Q1,,,,,,,1302000000.0,804000000.0,49653000000.0,1628000000.0,1183542101.0,226000000.0,,,,,,,,5.761061946902655,
2024-03-30,2025-07-30,10-Q,2025,Q2,,,,,,,,,49653000000.0,,1183599215.0,,,,,,,,,,
2024-03-30,2025-10-29,10-Q,2025,Q3,,,,,,,,,49653000000.0,,1183655579.0,,,,,,,,,,
2024-04-27,2024-05-01,10-Q,2024,Q1,,,,,,,,,,,1214298182.0,,,,,,,,,,
2024-06-29,2024-07-31,10-Q,2024,Q2,7530000000.0,7486000000.0,7530000000.0,7486000000.0,,,522000000.0,100000000.0,49021000000.0,902000000.0,1209078897.0,229000000.0,,7486000000.0,7486000000.0,0.9941567065073041,1.0058776382580819,,0.013280212483399735,2.2794759825327513,0.1197875166002656
2024-06-29,2024-10-30,10-Q,2024,Q3,,,,,,,,,49021000000.0,,1209174894.0,,,,,,,,,,
2024-06-29,2025-07-30,10-Q,2025,Q2,,,,,,,522000000.0,100000000.0,49021000000.0,902000000.0,1183599215.0,229000000.0,,,,,,,,2.2794759825327513,
2024-06-29,2025-10-29,10-Q,2025,Q3,,,,,,,,,49021000000.0,,1183655579.0,,,,,,,,,,
2024-07-27,2024-07-31,10-Q,2024,Q2,,,,,,,,,,,1209078897.0,,,,,,,,,,
2024-09-28,2024-10-30,10-Q,2024,Q3,8202000000.0,7728000000.0,8202000000.0,7728000000.0,,13000000.0,-101000000.0,-290000000.0,48463000000.0,1288000000.0,1209174894.0,230000000.0,,13000000.0,13000000.0,0.9422092172640819,1.061335403726708,,-0.035357229943916116,-0.4391304347826087,0.15703486954401366
2024-09-28,2025-10-29,10-Q,2025,Q3,,,,,,,-101000000.0,-290000000.0,48463000000.0,1288000000.0,1183655579.0,230000000.0,,,,,,,,-0.4391304347826087,
2024-10-26,2024-10-30,10-Q,2024,Q3,,,,,,,,,,,1209174894.0,,,,,,,,,,
2024-12-28,2025-02-13,10-K,2024,FY,7655000000.0,7253000000.0,7655000000.0,7253000000.0,,,1683000000.0,2746000000.0,49319000000.0,1486000000.0,1194989953.0,912000000.0,,7253000000.0,7253000000.0,0.9474853037230568,1.0554253412381083,,0.3587197909862835,1.8453947368421053,0.19412148922273023
2024-12-28,2025-04-29,10-Q,2025,Q1,7655000000.0,7253000000.0,7655000000.0,7253000000.0,,,,,49319000000.0,1486000000.0,1183542101.0,,,7253000000.0,7253000000.0,0.9474853037230568,1.0554253412381083,,,,0.19412148922273023
2024-12-28,2025-07-30,10-Q,2025,Q2,7655000000.0,7253000000.0,7655000000.0,7253000000.0,,,,,49319000000.0,1486000000.0,1183599215.0,,,7253000000.0,7253000000.0,0.9474853037230568,1.0554253412381083,,,,0.19412148922273023
2024-12-28,2025-10-29,10-Q,2025,Q3,7655000000.0,7253000000.0,7655000000.0,7253000000.0,,,,,49319000000.0,1486000000.0,1183655579.0,,,7253000000.0,7253000000.0,0.9474853037230568,1.0554253412381083,,,,0.19412148922273023
2024-12-28,2026-02-12,10-K,2025,FY,7655000000.0,7253000000.0,7655000000.0,7253000000.0,,,1683000000.0,2746000000.0,49319000000.0,1486000000.0,1183744751.0,912000000.0,,7253000000.0,7253000000.0,0.9474853037230568,1.0554253412381083,,0.3587197909862835,1.8453947368421053,0.19412148922273023
2024-12-28,2026-05-06,10-Q,2026,Q1,,,,,,,,,49319000000.0,1486000000.0,1185777638.0,,,,,,,,,,
2025-02-08,2025-02-13,10-K,2024,FY,,,,,,,,,,,1194989953.0,,,,,,,,,,
2025-03-29,2025-04-29,10-Q,2025,Q1,9458000000.0,7235000000.0,9458000000.0,7235000000.0,,,1196000000.0,714000000.0,49598000000.0,2263000000.0,1183542101.0,229000000.0,,7235000000.0,7235000000.0,0.764960879678579,1.307256392536282,,0.07549164728272362,5.222707423580786,0.2392683442588285
2025-03-29,2025-07-30,10-Q,2025,Q2,,,,,,,,,49598000000.0,,1183599215.0,,,,,,,,,,
2025-03-29,2025-10-29,10-Q,2025,Q3,,,,,,,,,49598000000.0,,1183655579.0,,,,,,,,,,
2025-03-29,2026-05-06,10-Q,2026,Q1,,,,,,,1196000000.0,714000000.0,49598000000.0,2263000000.0,1185777638.0,229000000.0,,,,,,,,5.222707423580786,
2025-04-26,2025-04-29,10-Q,2025,Q1,,,,,,,,,,,1183542101.0,,,,,,,,,,
2025-06-28,2025-07-30,10-Q,2025,Q2,9241000000.0,8624000000.0,9241000000.0,8624000000.0,,,-7974000000.0,-7823000000.0,41485000000.0,1712000000.0,1183599215.0,240000000.0,,8624000000.0,8624000000.0,0.9332323341629694,1.0715445269016697,,-0.8465534033113299,-33.225,0.18526133535331674
2025-06-28,2025-10-29,10-Q,2025,Q3,,,,,,,,,41485000000.0,,1183655579.0,,,,,,,,,,
2025-07-26,2025-07-30,10-Q,2025,Q2,,,,,,,,,,,1183599215.0,,,,,,,,,,
2025-09-27,2025-10-29,10-Q,2025,Q3,9988000000.0,8863000000.0,9988000000.0,8863000000.0,,,1025000000.0,613000000.0,41572000000.0,2251000000.0,1183655579.0,240000000.0,,8863000000.0,8863000000.0,0.8873648378053665,1.1269321900033848,,0.06137364837805367,4.270833333333333,0.22537044453344013
2025-10-25,2025-10-29,10-Q,2025,Q3,,,,,,,,,,,1183655579.0,,,,,,,,,,
2025-12-27,2026-02-12,10-K,2025,FY,10127000000.0,8778000000.0,10127000000.0,8778000000.0,,,-4669000000.0,-5848000000.0,41777000000.0,2944000000.0,1183744751.0,947000000.0,,8778000000.0,8778000000.0,0.8667917448405253,1.1536796536796536,,-0.5774661795200948,-4.9303062302006335,0.29070800829465787
2025-12-27,2026-05-06,10-Q,2026,Q1,10127000000.0,8778000000.0,10127000000.0,8778000000.0,,,,,41777000000.0,2944000000.0,1185777638.0,,,8778000000.0,8778000000.0,0.8667917448405253,1.1536796536796536,,,,0.29070800829465787
2026-02-07,2026-02-12,10-K,2025,FY,,,,,,,,,,,1183744751.0,,,,,,,,,,
2026-03-28,2026-05-06,10-Q,2026,Q1,10681000000.0,8938000000.0,10681000000.0,8938000000.0,,,1145000000.0,799000000.0,42036000000.0,3616000000.0,1185777638.0,236000000.0,,8938000000.0,8938000000.0,0.8368130324875948,1.1950100693667487,,0.07480572980058046,4.851694915254237,0.33854508004868455
2026-05-02,2026-05-06,10-Q,2026,Q1,,,,,,,,,,,1185777638.0,,,,,,,,,,
