trading_date,open,high,low,close,volume,adj_close,daily_return,equity_vol_252d
2021-01-04,377.42999267578125,381.54998779296875,374.80999755859375,380.1499938964844,3322200,358.6773376464844,,
2021-01-05,378.8599853515625,380.2099914550781,375.25,375.739990234375,2748400,354.5165100097656,-0.011600475413419353,
2021-01-06,373.82000732421875,375.79998779296875,369.6499938964844,370.0199890136719,2661400,349.1195068359375,-0.015223559471685744,
2021-01-07,371.010009765625,371.6499938964844,366.7900085449219,367.9200134277344,2849500,347.1380920410156,-0.005675462860495473,
2021-01-08,368.1199951171875,370.260009765625,364.2900085449219,369.94000244140625,2599700,349.0439453125,0.005490187666466806,
2021-01-11,368.5799865722656,371.0,363.8599853515625,364.010009765625,2562500,343.44903564453125,-0.016029241426776863,
2021-01-12,364.0,365.07000732421875,360.25,364.20001220703125,2387600,343.6282653808594,0.0005218524954999637,
2021-01-13,364.3699951171875,368.739990234375,363.0,366.95001220703125,1968800,346.222900390625,0.007550703103220702,
2021-01-14,366.0,366.5,361.55999755859375,362.3500061035156,2363900,341.8827209472656,-0.01253579540366212,
2021-01-15,361.05999755859375,364.9100036621094,360.79998779296875,362.1600036621094,2340400,341.7034912109375,-0.0005242433306705818,
2021-01-19,362.3599853515625,362.95001220703125,352.44000244140625,354.4700012207031,4533800,334.4478759765625,-0.02123365848169234,
2021-01-20,354.3900146484375,361.8999938964844,353.4100036621094,361.29998779296875,2767200,340.89202880859375,0.01926803336159577,
2021-01-21,361.29998779296875,363.989990234375,359.94000244140625,362.79998779296875,2121600,342.3073425292969,0.0041517947065221605,
2021-01-22,363.20001220703125,364.6300048828125,359.8500061035156,362.29998779296875,1960300,341.83563232421875,-0.0013780312206939094,
2021-01-25,360.8599853515625,361.9599914550781,356.82000732421875,361.8800048828125,2735900,341.43939208984375,-0.001159154274470664,
2021-01-26,360.20001220703125,365.8999938964844,358.8800048828125,364.9800109863281,1807000,344.36419677734375,0.00856610208212416,
