period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,long_term_debt,revenue,net_income,stockholders_equity,cash,shares_outstanding,interest_expense,current_debt,current_liabilities,current_assets,operating_income,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2012-09-30,2013-11-06,10-Q,2013,Q3,,,,4088000000.0,925000000.0,41802000000.0,,532107975.0,271000000.0,,,,,,,,,0.2262720156555773,,,
2012-10-31,2012-11-08,10-Q,2012,Q3,,,,,,,,528863145.0,,,,,,,,,,,,,
2012-12-31,2013-03-01,10-K,2012,FY,305107000000.0,263342000000.0,,15512000000.0,3001000000.0,41765000000.0,,528435413.0,1094000000.0,,,,,,,0.8631135962137872,,0.1934631253223311,0.009835893637314123,,
2012-12-31,2013-05-09,10-Q,2013,Q1,305107000000.0,263342000000.0,,,,41765000000.0,,529423740.0,,,,,,,,0.8631135962137872,,,,,
2012-12-31,2013-08-08,10-Q,2013,Q2,305107000000.0,263342000000.0,,,,41765000000.0,,531511981.0,,,,,,,,0.8631135962137872,,,,,
2012-12-31,2013-11-06,10-Q,2013,Q3,305107000000.0,263342000000.0,,,,41765000000.0,,532107975.0,,,,,,,,0.8631135962137872,,,,,
2012-12-31,2014-03-03,10-K,2013,FY,305107000000.0,263342000000.0,,15512000000.0,3001000000.0,41765000000.0,,534064610.0,1094000000.0,,,,,,,0.8631135962137872,,0.1934631253223311,0.009835893637314123,,
2012-12-31,2014-05-08,10-Q,2014,Q1,,,,,,41765000000.0,,534128758.0,,,,,,,,,,,,,
2012-12-31,2014-08-07,10-Q,2014,Q2,,,,,,41765000000.0,,540566475.0,,,,,,,,,,,,,
2012-12-31,2014-11-05,10-Q,2014,Q3,,,,,,41765000000.0,,526209756.0,,,,,,,,,,,,,
2012-12-31,2015-03-02,10-K,2014,FY,,,,15512000000.0,2994000000.0,41720000000.0,,520689714.0,1094000000.0,,,,,,,,,0.19301186178442495,,,
2012-12-31,2016-02-29,10-K,2015,FY,,,,,,41720000000.0,,501105185.0,,,,,,,,,,,,,
2013-02-15,2013-03-01,10-K,2012,FY,,,,,,,,528435413.0,,,,,,,,,,,,,
2013-03-31,2013-05-09,10-Q,2013,Q1,300812000000.0,258734000000.0,,3955000000.0,1004000000.0,42078000000.0,,529423740.0,222000000.0,,,,,,,0.8601186122894033,,0.2538558786346397,0.00333763280720184,,
2013-03-31,2014-05-08,10-Q,2014,Q1,,,,3955000000.0,995000000.0,42024000000.0,,534128758.0,222000000.0,,,,,,,,,0.2515802781289507,,,
2013-06-30,2013-08-08,10-Q,2013,Q2,304415000000.0,262474000000.0,,4064000000.0,1123000000.0,41941000000.0,,531511981.0,211000000.0,,,,,,,0.8622242662155282,,0.2763287401574803,0.0036890429183844423,,
2013-06-30,2014-08-07,10-Q,2014,Q2,,,,4064000000.0,1115000000.0,41877000000.0,,540566475.0,211000000.0,,,,,,,,,0.27436023622047245,,,
2013-09-30,2013-11-06,10-Q,2013,Q3,308597000000.0,265777000000.0,,3920000000.0,1039000000.0,42820000000.0,,532107975.0,214000000.0,,,,,,,0.8612429803270932,,0.26505102040816325,0.003366850617471978,,
2013-09-30,2014-11-05,10-Q,2014,Q3,,,,3920000000.0,1028000000.0,42747000000.0,,526209756.0,214000000.0,,,,,,,,,0.26224489795918365,,,
2013-10-31,2013-11-06,10-Q,2013,Q3,,,,,,,,532107975.0,,,,,,,,,,,,,
2013-12-31,2014-03-03,10-K,2013,FY,320296000000.0,276199000000.0,,16012000000.0,4227000000.0,44097000000.0,,534064610.0,860000000.0,,,,,,,0.8623242250917901,,0.2639895078690982,0.013197167619951544,,
2013-12-31,2014-05-08,10-Q,2014,Q1,320192000000.0,276155000000.0,,,,44037000000.0,,534128758.0,,,,,,,,0.8624668948630821,,,,,
2013-12-31,2014-08-07,10-Q,2014,Q2,320192000000.0,276155000000.0,,,,44037000000.0,,540566475.0,,,,,,,,0.8624668948630821,,,,,
2013-12-31,2014-11-05,10-Q,2014,Q3,320192000000.0,276155000000.0,,,,44037000000.0,,526209756.0,,,,,,,,0.8624668948630821,,,,,
2013-12-31,2015-03-02,10-K,2014,FY,320192000000.0,276155000000.0,,16012000000.0,4212000000.0,44037000000.0,,520689714.0,860000000.0,,,,,,,0.8624668948630821,,0.2630527104671496,0.013154607235658604,,
2013-12-31,2015-05-07,10-Q,2015,Q1,,,,,,44037000000.0,,517920355.0,,,,,,,,,,,,,
2013-12-31,2015-08-05,10-Q,2015,Q2,,,,,,44037000000.0,,513599824.0,,,,,,,,,,,,,
2013-12-31,2015-11-05,10-Q,2015,Q3,,,,,,44037000000.0,,507805789.0,,,,,,,,,,,,,
2013-12-31,2016-02-29,10-K,2015,FY,,,,16012000000.0,4212000000.0,44037000000.0,,501105185.0,860000000.0,,,,,,,,,0.2630527104671496,,,
2013-12-31,2017-02-28,10-K,2016,FY,,,,,,44039000000.0,,486156269.0,,,,,,,,,,,,,
2014-02-19,2014-03-03,10-K,2013,FY,,,,,,,,534064610.0,,,,,,,,,,,,,
2014-03-31,2014-05-08,10-Q,2014,Q1,323423000000.0,278505000000.0,,3777000000.0,1060000000.0,44918000000.0,,534128758.0,215000000.0,,,,,,,0.861116865529044,,0.28064601535610273,0.003277441616706295,,
2014-03-31,2015-05-07,10-Q,2015,Q1,,,,3777000000.0,1060000000.0,44918000000.0,,517920355.0,215000000.0,,,,,,,,,0.28064601535610273,,,
2014-04-20,2014-05-08,10-Q,2014,Q1,,,,,,,,534128758.0,,,,,,,,,,,,,
2014-06-30,2014-08-07,10-Q,2014,Q2,327064000000.0,281271000000.0,,3810000000.0,1052000000.0,45793000000.0,,540566475.0,227000000.0,,,,,,,0.8599876476775188,,0.2761154855643045,0.0032164958540224545,,
2014-06-30,2015-08-05,10-Q,2015,Q2,,,,3810000000.0,1052000000.0,45793000000.0,,513599824.0,227000000.0,,,,,,,,,0.2761154855643045,,,
2014-07-25,2014-08-07,10-Q,2014,Q2,,,,,,,,540566475.0,,,,,,,,,,,,,
2014-09-30,2014-11-05,10-Q,2014,Q3,334424000000.0,288429000000.0,,3841000000.0,1038000000.0,45995000000.0,,526209756.0,224000000.0,,,,,,,0.8624650144726455,,0.27024212444675866,0.003103844221706576,,
2014-09-30,2015-11-05,10-Q,2015,Q3,,,,3841000000.0,1038000000.0,45995000000.0,,507805789.0,224000000.0,,,,,,,,,0.27024212444675866,,,
2014-10-24,2014-11-05,10-Q,2014,Q3,,,,,,,,526209756.0,,,,,,,,,,,,,
2014-12-31,2015-03-02,10-K,2014,FY,345072000000.0,298998000000.0,,15375000000.0,4207000000.0,46074000000.0,,520689714.0,906000000.0,,,,,,,0.8664800389483934,,0.2736260162601626,0.012191658552418046,,
2014-12-31,2015-05-07,10-Q,2015,Q1,345072000000.0,298998000000.0,,,,46074000000.0,,517920355.0,,,,,,,,0.8664800389483934,,,,,
2014-12-31,2015-08-05,10-Q,2015,Q2,345072000000.0,298998000000.0,,,,46074000000.0,,513599824.0,,,,,,,,0.8664800389483934,,,,,
