trading_date,open,high,low,close,volume,adj_close,daily_return,equity_vol_252d
2021-01-04,64.69000244140625,64.69999694824219,63.16999816894531,63.75,11249900,59.099365234375,,
2021-01-05,63.68000030517578,63.790000915527344,62.47999954223633,62.959999084472656,11005700,58.36698913574219,-0.012392283668840931,
2021-01-06,62.27000045776367,63.349998474121094,61.90999984741211,62.56999969482422,8685400,58.2274055480957,-0.0023914817213178674,
2021-01-07,62.849998474121094,63.7400016784668,62.849998474121094,63.06999969482422,7382800,58.69270324707031,0.007991042956400962,
2021-01-08,63.18000030517578,63.540000915527344,62.90999984741211,63.380001068115234,7751700,58.98118209838867,0.0049150718123169845,
2021-01-11,62.95000076293945,63.56999969482422,62.84000015258789,63.029998779296875,6284700,58.65547561645508,-0.005522210141368,
2021-01-12,63.0,63.02000045776367,62.18000030517578,62.41999816894531,7758200,58.08781051635742,-0.009677955794094806,
2021-01-13,62.31999969482422,62.59000015258789,61.970001220703125,62.060001373291016,8298000,57.7527961730957,-0.0057673777042668295,
2021-01-14,62.06999969482422,62.16999816894531,61.5099983215332,61.599998474121094,10258600,57.32472229003906,-0.0074121758844996055,
2021-01-15,61.599998474121094,62.0,61.209999084472656,61.779998779296875,7532600,57.492225646972656,0.002922009043255347,
2021-01-19,62.099998474121094,62.290000915527344,61.099998474121094,61.290000915527344,8903400,57.036231994628906,-0.007931396762124843,
2021-01-20,61.369998931884766,62.029998779296875,61.150001525878906,61.560001373291016,7025000,57.28750228881836,0.004405450454951332,
2021-01-21,61.650001525878906,61.849998474121094,60.91999816894531,61.209999084472656,6943600,56.961795806884766,-0.005685471855475965,
2021-01-22,60.939998626708984,61.150001525878906,59.7400016784668,60.36000061035156,9896700,56.17078399658203,-0.013886707732748915,
2021-01-25,60.380001068115234,60.95000076293945,59.77000045776367,60.900001525878906,8524700,56.673301696777344,0.008946246864310892,
2021-01-26,61.060001373291016,62.040000915527344,60.84000015258789,61.79999923706055,8186500,57.51082992553711,0.014778179560471782,
2021-01-27,61.400001525878906,63.18000030517578,61.369998931884766,62.54999923706055,14789000,58.20878219604492,0.01213601458041036,
2021-01-28,62.54999923706055,63.2400016784668,61.16999816894531,61.220001220703125,11166400,56.97108840942383,-0.02126300774430545,
2021-01-29,61.15999984741211,61.5,60.209999084472656,60.43000030517578,11451800,56.23591995239258,-0.012904237527426976,
2021-02-01,60.91999816894531,62.0099983215332,60.7400016784668,61.5099983215332,10553500,57.240970611572266,0.01787204085983718,
2021-02-02,61.880001068115234,62.91999816894531,61.79999923706055,62.369998931884766,10528000,58.041282653808594,0.013981454781176073,
2021-02-03,62.18000030517578,62.75,61.97999954223633,62.16999816894531,9933500,57.855159759521484,-0.0032067329627646357,
2021-02-04,62.47999954223633,63.38999938964844,62.25,63.349998474121094,9928700,58.953269958496094,0.01898033301677793,
2021-02-05,63.5,64.06999969482422,63.279998779296875,63.599998474121094,9170200,59.185909271240234,0.003946164698038324,
2021-02-08,63.790000915527344,63.869998931884766,62.84000015258789,63.11000061035156,7003400,58.729915618896484,-0.007704429279847602,
2021-02-09,63.08000183105469,63.849998474121094,62.90999984741211,63.66999816894531,5437400,59.25104904174805,0.00887338960663997,
2021-02-10,63.84000015258789,63.900001525878906,62.93000030517578,63.27000045776367,9577500,58.878814697265625,-0.006282324963059249,
2021-02-11,63.560001373291016,63.970001220703125,62.279998779296875,62.70000076293945,7690800,58.348384857177734,-0.009008840324235101,
2021-02-12,62.31999969482422,63.119998931884766,62.310001373291016,63.08000183105469,6663400,58.70200729370117,0.006060535135445688,
2021-02-16,63.11000061035156,63.2599983215332,62.099998474121094,62.13999938964844,7526000,57.827239990234375,-0.014901829490942431,
2021-02-17,61.83000183105469,62.150001525878906,61.36000061035156,62.09000015258789,6244500,57.78070831298828,-0.0008046670955409452,
2021-02-18,61.810001373291016,62.209999084472656,61.65999984741211,62.06999969482422,6262400,57.76209259033203,-0.0003221788586497132,
2021-02-19,62.2599983215332,62.36000061035156,61.08000183105469,61.130001068115234,10905100,56.88735580444336,-0.015143786290649053,
2021-02-22,62.849998474121094,64.97000122070312,62.279998779296875,64.44999694824219,20940300,59.976932525634766,0.054310429400378,
2021-02-23,64.41999816894531,65.22000122070312,64.05000305175781,64.5,18175400,60.0234489440918,0.0007755718156667868,
2021-02-24,64.48999786376953,65.1500015258789,64.08000183105469,64.69999694824219,10609300,60.209556579589844,0.0031005821686687085,
2021-02-25,64.63999938964844,66.36000061035156,64.58000183105469,65.30000305175781,15356100,60.76793670654297,0.009273945178702947,
2021-02-26,65.54000091552734,66.27999877929688,64.5,64.51000213623047,20512600,60.03276062011719,-0.01209809195885736,
2021-03-01,64.94999694824219,66.7300033569336,64.7699966430664,66.16999816894531,11758900,61.577552795410156,0.02573248605154599,
2021-03-02,66.1500015258789,67.41999816894531,66.0,66.66000366210938,13282000,62.03354263305664,0.007405130878804123,
2021-03-03,66.25,67.54000091552734,66.19999694824219,66.91000366210938,15827600,62.266178131103516,0.00375015657936828,
2021-03-04,66.68000030517578,67.30999755859375,65.30999755859375,65.61000061035156,19951100,61.05640411376953,-0.01942907134571137,
2021-03-05,67.30999755859375,71.72000122070312,67.30999755859375,69.97000122070312,34211500,65.11382293701172,0.06645361583498754,
2021-03-08,70.47000122070312,72.94000244140625,70.0999984741211,72.16000366210938,23300500,67.15181732177734,0.03129895147973549,
2021-03-09,72.4000015258789,73.22000122070312,72.0,72.63999938964844,17296400,67.59850311279297,0.006651879410429107,
2021-03-10,73.5,73.62000274658203,71.5,72.12000274658203,21378600,67.1146011352539,-0.007158471789406873,
2021-03-11,67.6500015258789,68.0999984741211,65.43000030517578,67.41000366210938,38095400,62.731475830078125,-0.06530807351954027,
2021-03-12,66.95999908447266,67.87000274658203,66.44999694824219,67.16000366210938,11606300,62.49884796142578,-0.003708311745804771,
2021-03-15,66.94999694824219,67.77999877929688,66.9000015258789,67.7300033569336,8919600,63.02927017211914,0.00848691180709027,
2021-03-16,68.0,68.06999969482422,66.68000030517578,66.8499984741211,14512500,62.21036148071289,-0.012992514258375332,
2021-03-17,66.80000305175781,66.8499984741211,66.16000366210938,66.22000122070312,11892400,61.62407684326172,-0.009424228110825883,
2021-03-18,66.47000122070312,67.01000213623047,66.08999633789062,66.73999786376953,13750300,62.107994079589844,0.007852729989918483,
2021-03-19,66.79000091552734,66.83000183105469,65.95999908447266,66.26000213623047,30963600,61.66130447387695,-0.007192143496704606,
2021-03-22,66.22000122070312,66.5199966430664,65.86000061035156,66.31999969482422,10263700,61.71713638305664,0.0009054610449141798,
2021-03-23,66.33000183105469,67.94000244140625,66.33000183105469,67.2699966430664,12390100,62.60117721557617,0.014324074063200243,
2021-03-24,67.11000061035156,67.41000366210938,66.73999786376953,66.83000183105469,11391100,62.19173812866211,-0.006540437498548934,
2021-03-25,66.95999908447266,68.7300033569336,66.76000213623047,68.62999725341797,14844700,63.8668098449707,0.026933991020530845,
2021-03-26,68.56999969482422,70.37000274658203,68.27999877929688,70.25,12617000,65.37437438964844,0.023604819910954866,
2021-03-29,70.20999908447266,72.33000183105469,70.16999816894531,71.12999725341797,15183700,66.19329071044922,0.012526564551422315,
2021-03-30,70.83000183105469,71.05000305175781,69.94999694824219,70.55000305175781,12000200,65.653564453125,-0.008153790988956189,
2021-03-31,70.69999694824219,71.0999984741211,69.91000366210938,70.16999816894531,9971700,65.29993438720703,-0.0053863041384516475,0.2892336823112527
2021-04-01,70.45999908447266,71.83000183105469,70.33000183105469,71.80999755859375,13228700,66.82611083984375,0.023371791517997398,0.29013706640749176
2021-04-05,72.19000244140625,74.9000015258789,72.05999755859375,74.16000366210938,25010200,69.01300811767578,0.03272519155084708,0.29426486236537847
2021-04-06,73.62000274658203,74.6500015258789,73.16000366210938,74.27999877929688,14699800,69.12467956542969,0.0016181217251607372,0.29188972839343647
2021-04-07,73.5999984741211,74.18000030517578,73.44999694824219,74.06999969482422,12356800,69.22749328613281,0.0014873663263177406,0.28957315747140333
2021-04-08,74.2699966430664,75.52999877929688,74.1500015258789,75.27999877929688,13507700,70.35838317871094,0.016335849225450172,0.2885652534202349
2021-04-09,75.3499984741211,75.69000244140625,74.9000015258789,75.58000183105469,13285700,70.6387710571289,0.0039851381704689715,0.286345535149584
2021-04-12,75.25,76.19000244140625,75.19999694824219,76.12000274658203,10634900,71.14347076416016,0.007144797389284641,0.2842891389389894
2021-04-13,76.16000366210938,77.01000213623047,75.9000015258789,76.66999816894531,13142400,71.6574935913086,0.007225158143498778,0.2822807663675426
2021-04-14,77.04000091552734,77.36000061035156,76.51000213623047,76.81999969482422,12730700,71.79769897460938,0.001956604623940983,0.2802044779556088
2021-04-15,77.0,78.55000305175781,76.83000183105469,78.29000091552734,13604200,73.17160034179688,0.019135729790913825,0.2798509966727572
2021-04-16,78.30999755859375,79.33999633789062,77.86000061035156,78.94999694824219,13334100,73.78843688964844,0.008429999411933231,0.2780189704905633
2021-04-19,78.80999755859375,80.20999908447266,78.33999633789062,78.75,19967200,73.60153198242188,-0.002532983691009516,0.27626841087684717
2021-04-20,78.69999694824219,79.41999816894531,78.6500015258789,79.23999786376953,12562300,74.05949401855469,0.006222180758984619,0.27440058890755215
2021-04-21,78.79000091552734,79.33999633789062,76.52999877929688,76.66000366210938,18672800,71.6481704711914,-0.03255927655621238,0.28040892087777486
2021-04-22,76.11000061035156,76.4800033569336,74.75,74.87000274658203,16769300,69.97520446777344,-0.023349737926534275,0.2825897101807402
2021-04-23,74.29000091552734,75.0,73.8499984741211,74.97000122070312,10664700,70.06864929199219,0.0013353990878552935,0.2807062839854599
2021-04-26,74.97000122070312,75.04000091552734,74.19999694824219,74.5,9402200,69.62937927246094,-0.006269137823689319,0.27929372000348285
2021-04-27,74.38999938964844,75.43000030517578,74.22000122070312,75.22000122070312,9300200,70.30230712890625,0.009664424176641484,0.27779114336885524
2021-04-28,75.16000366210938,75.2699966430664,74.66000366210938,74.7699966430664,6107800,69.88172149658203,-0.00598252958545209,0.27640835692228033
2021-04-29,75.37999725341797,75.9000015258789,74.63999938964844,75.87000274658203,7940400,70.90982055664062,0.014711988171454582,0.27553927796873445
2021-04-30,75.55999755859375,75.91999816894531,75.19000244140625,75.79000091552734,7825300,70.83505249023438,-0.001054410599537814,0.27388063452200545
2021-05-03,76.27999877929688,77.4800033569336,76.08000183105469,77.33000183105469,15319600,72.27436828613281,0.020319259255110467,0.27399448373079166
2021-05-04,77.06999969482422,78.69999694824219,76.93000030517578,78.52999877929688,15316500,73.39588928222656,0.01551754823582363,0.2732467227320214
2021-05-05,78.97000122070312,79.83000183105469,78.41999816894531,79.19000244140625,12271900,74.01277160644531,0.00840486204679225,0.2717716329650857
2021-05-06,79.18000030517578,79.95999908447266,78.55999755859375,79.73999786376953,14089700,74.52678680419922,0.006944952696638973,0.27024215015499176
2021-05-07,79.80999755859375,80.54000091552734,78.58000183105469,80.4000015258789,14073400,75.14363861083984,0.008276914021011716,0.2688068763925758
2021-05-10,78.7699966430664,80.72000122070312,78.5999984741211,80.1500015258789,17356700,74.90998840332031,-0.003109381071225159,0.26743758804007167
2021-05-11,79.75,79.9000015258789,77.25,77.69000244140625,12980400,72.61083221435547,-0.0306922513001342,0.27189358988167794
